,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
KMS-34,-0.7388122,0.18635648,0.4005207,-0.011126287,0.16519022,-0.01218136,-0.7583518,0.20399097,0.11319074,-0.28779823,-0.003881054,0.44657028,-0.5289464,-0.332783,0.5395435,-0.28495985
SNU-738,0.52583694,-0.8822143,0.9080534,-0.6556062,-0.09688601,-0.7977489,-1.0985755,1.1034024,0.003630951,-0.88561076,0.8541795,0.22489473,-0.6342075,0.050881866,0.20354408,-0.8792205
NH-6,0.047899745,-0.52805865,-0.11036802,-0.3806464,0.16174974,0.03177185,-0.46448666,-0.047906,0.45821702,-0.36763948,-0.020096822,0.096511334,-0.13067363,-0.14347145,0.3613847,0.21025644
GSU,-0.11553535,-0.4128473,0.10965727,0.5920127,0.74789935,-0.8169363,0.30783346,-0.5490744,-0.18999201,0.60353696,-0.86036766,1.1801174,-0.437491,-1.0685332,-0.43683848,0.5803475
Hs 739.T,0.09625849,-0.53138363,-0.1076889,-0.3269086,0.13020563,-0.072812915,-0.4020353,0.13376836,0.47744504,-0.34756732,-0.008794385,0.096151076,-0.033087626,-0.10575164,-0.047638223,0.24566042
AU565,-1.078071,0.16437414,0.5140358,-0.18669415,-0.020670332,-0.0041214004,-0.75893855,0.20196895,0.108309865,-0.23355363,-0.032502305,0.4151977,-0.49102545,-0.3254197,0.82999694,-0.46823964
JHUEM-7,0.469882,4.5058484,0.70679796,3.5382056,-2.974311,-0.83363926,5.7194314,1.6563532,-4.3972807,3.9495306,-0.5713752,-0.8265916,1.8893487,3.3223062,-1.9566473,-1.0333099
EC-GI-10,-0.9773229,0.23942505,0.49827737,-0.19883117,-0.10214431,-0.09803361,-0.6870953,0.24013036,0.08845853,-0.23378603,0.053955875,0.40029252,-0.5236717,-0.3125973,0.46582276,-0.14740236
MOLP-2,-0.9787396,0.17439082,0.44702804,-0.12669411,0.019486725,-0.037577312,-0.6598622,0.14842585,0.13863009,-0.2629093,0.08750279,0.43983826,-0.5235539,-0.32693735,0.568057,-0.25014594
Pfeiffer,2.6002715,-1.559624,-1.992366,-0.4039282,0.37844846,0.8093373,0.8718664,-1.1324887,0.9129514,-0.12618934,0.15252267,-1.6569831,1.5324037,0.77416265,-0.81760854,1.5078782
F5,-0.8298813,0.21206574,0.55255985,-0.11732871,-0.019131958,-0.04657981,-0.7203304,0.16810532,0.12179199,-0.2662598,0.011372447,0.38636836,-0.47792125,-0.347024,0.42843562,-0.23842664
SNU-C4,3.707773,0.39508387,0.59545827,1.7797947,-1.3833476,-2.4442728,3.4338698,1.0843358,-2.7379766,1.8740549,0.38842642,0.24808733,0.7995173,0.9429592,-2.748144,-0.8956441
THP-1,-0.98887634,0.19239768,0.50141394,-0.020315826,-0.045445062,-0.0718873,-0.6754306,0.19247319,0.116527386,-0.22368139,-0.056248266,0.4291644,-0.5006813,-0.30679232,0.35434368,-0.2582915
VM-CUB-1,2.2702644,1.5575483,-0.38028127,-0.31656516,0.059585586,2.2627382,-0.0016547889,-0.35315818,-1.6869622,-0.7250885,3.6907468,-4.7019563,1.1111294,0.9215661,-0.20823532,-3.9056478
SJSA-1,0.12381543,-0.5409632,-0.10553256,-0.32485044,0.14451276,-0.07768882,-0.37640947,0.013197164,0.46750343,-0.37831572,-0.0027196342,0.09635916,-0.024238914,-0.07995804,0.3488906,0.4574642
COR-L311,-1.119859,0.16348624,0.4445806,-0.020140395,0.06962008,-0.05358221,-0.8661015,0.1407915,0.14153741,-0.22742417,0.032884244,0.4470417,-0.52482826,-0.2965726,0.5953889,-0.45713717
Hs 294T,-1.7053739,1.0478423,-0.66861945,0.009175168,-0.16558464,1.6849543,0.05256611,-0.43562087,0.41601014,-0.18340443,-0.20770611,-0.87975824,0.6378222,0.6877581,1.2144346,0.5980032
TIG-3 TD,-0.7326139,0.19472606,0.48765412,-0.15774393,0.2553171,-0.06078196,-0.7496793,0.07659267,0.12609974,-0.31052235,0.008501545,0.43783846,-0.55910015,-0.28841424,0.4585306,-0.19276856
DU4475,-0.17637444,0.62956285,-2.2495146,0.34093642,0.13532339,2.623621,1.249812,-1.1690683,0.8096927,0.13807069,-0.17638446,-2.4448993,2.0179393,1.4160507,0.1827878,1.5936353
EW-8,-0.9355758,0.18873316,0.45420948,-0.24686253,0.07549957,-0.02255807,-0.786368,0.17809163,0.14209937,-0.27721348,-0.042900905,0.43992358,-0.48900467,-0.3155772,0.087509066,-0.28651723
HCC2279,1.3949395,-0.70727915,-1.3895129,-0.12282738,0.25109592,0.8734811,0.48602086,-0.80669343,0.53280705,0.048903394,0.092077866,-1.3129141,1.0886524,0.42468756,-0.46140903,1.0113424
NCI-H2029,-1.0975105,0.27901345,0.51188266,-0.061452314,0.10870818,-0.0073113386,-0.6994243,0.13094062,0.123975515,-0.31696185,-0.01590275,0.40476897,-0.44651997,-0.35222983,0.23547399,-0.40112752
SNU-478,-0.9431426,0.23061521,0.42743096,-0.007923387,0.10991759,-0.020542905,-0.6962275,0.2096329,0.102834806,-0.24740729,-0.012867367,0.46799064,-0.46434596,-0.32400328,1.0745955,-0.3248821
COLO 792,0.26745147,-0.35940152,-0.6274252,0.28447494,0.11599596,-0.02931729,0.58265805,0.3653711,-0.01727153,0.015258573,-0.35765886,-0.8405001,0.6038781,0.8442016,0.10434674,1.1556073
EB1,-0.9058547,0.26861513,0.47831333,-0.035700247,0.077077925,-0.04760444,-0.678614,0.18818069,0.05321781,-0.2855488,-0.053162664,0.37479734,-0.46021098,-0.30365574,0.28626943,-0.28075957
