,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21
JHUEM-1,3.6583233,1.4324965,-0.6394084,-1.551077,2.2060063,2.825611,-1.9546313,1.0516273,-1.3592856,-2.1901093,0.36795908,-1.2497035,-2.940431,0.13026345,0.45972687,-1.0181006,0.09174289,-0.46643522,2.447562,1.2430601,1.3416663,0.89144015
UACC-812,-2.3062384,0.2968561,1.2848068,0.46064526,-2.1362903,1.0557662,-1.5351881,0.8577013,2.0636287,0.009673625,-2.3159742,-0.6638975,2.9165962,1.6138268,0.5875191,0.7266588,0.23245424,0.33411783,-0.2526429,-2.0681791,0.27448806,1.5832076
MeWo,-1.195278,0.51367575,-3.1941721,1.9674703,-0.98625875,0.1929628,-2.157679,-2.311996,-0.8978277,0.77659965,0.21270306,0.28601295,0.8097384,-1.1029913,1.0448949,0.22078365,-0.13413967,0.7953512,0.21349575,-0.29801372,-1.0980238,-2.1855242
CAL-12T,2.5904398,0.21967164,1.7307789,-2.8459501,1.3000544,-1.0358063,0.038003914,-0.3176636,1.7470052,-2.6153576,-2.0803876,-1.3638318,-4.5683618,0.39804214,-1.0235727,-0.6947783,0.8051351,1.1286012,1.6695348,-0.0024122093,1.3869238,-0.6221435
Hs 229.T,0.5416747,-0.3541472,0.68310255,-0.9741397,0.17442353,-0.2410871,1.8096641,-0.47424677,-0.38862574,0.77625376,-0.3999425,-0.08346147,-0.2906452,0.6376966,-0.9491057,0.58373666,-0.38785824,0.9716776,-1.2487528,1.1035649,-0.75751203,-1.2739525
Namalwa,-1.0266391,2.6108797,-0.43314987,2.0496624,-0.33788833,-1.308331,-1.2947718,0.80951935,-1.7309825,1.2222191,2.3491082,2.1108394,1.866873,0.4224325,0.92035687,0.61497015,-0.48963094,-0.053493805,-1.6799988,-1.2003464,-2.58784,0.46019733
HLC-1,0.67122597,-0.94743377,-0.37161666,0.77486646,-0.8450041,-0.5928401,0.931163,0.26786473,-2.1900916,-1.2765491,-0.61853343,-1.4760861,0.048032258,0.022042867,0.32549298,-0.047868237,1.4462452,-0.00611991,-0.5492573,0.7060087,0.60478777,-0.3517319
OCI-AML-3,-2.154062,0.9075635,0.6719706,1.495914,1.6336854,-0.7221731,0.8876994,-1.3485842,0.7874287,-1.7162006,-0.27171028,2.2093048,-2.7826037,0.3670619,-2.2000399,-2.8680549,-0.81130517,-2.8578768,-0.7029431,0.71386814,1.6427915,0.15547848
Hs 821.T,0.5843017,-0.44743574,0.15739818,-0.11557218,-1.6845602,1.2947876,2.0172539,1.1004951,0.012705429,1.3061053,0.64733136,-0.113604315,0.18244492,2.0075762,-1.1242421,1.6437697,-0.30304554,0.44472167,-1.6902871,0.8776227,0.36615705,-1.465655
HSC-2,1.5400393,-0.656385,0.21354729,-0.70187235,-0.10917121,-0.8828542,-0.046079285,0.15376693,1.4126408,-0.5732624,-2.1816838,0.21423697,-0.49149993,0.5100606,0.3378159,1.2341917,0.27031147,0.52474266,-0.7013807,-0.08448825,-0.44839758,0.4727779
LOX-IMVI,-1.7586083,0.73380494,-0.17459808,-0.3736881,1.643775,-0.405586,1.4091859,0.65323776,1.1149423,2.1428509,0.71808285,1.9394621,0.8516654,-1.7219541,-0.6574974,1.1622357,-0.91719526,-0.005605627,-1.0921772,1.27803,-2.061623,0.5848242
PC-3,0.021032862,-1.6619635,0.016449865,-1.3085574,1.3214666,-1.402318,0.6080941,-0.45242733,1.7076106,-1.5571752,-2.3686929,-0.4697105,-1.4462141,-0.622928,-0.17841703,-1.1259662,-1.5193985,0.56091624,-0.55752957,-1.0005959,-0.21284163,0.5648031
MEC-1,-1.4069735,2.8219607,-0.3261739,1.0612258,-0.9771714,-0.6945747,-0.7749026,0.9578572,-0.35425377,2.8605094,2.1825454,3.4840615,1.8368558,0.067737125,-0.15161762,-0.27821612,-0.41118932,0.07673865,-1.2455953,-1.7521071,-2.198606,-0.007884798
SK-BR-3,-1.5914775,-0.45307556,-0.056370582,1.6004039,-0.19947715,1.6631203,-0.1629376,1.1044028,1.02447,1.1680416,-3.4759092,0.95486015,2.5537486,1.7350602,1.2099096,-1.3360585,0.17245102,-2.2924883,0.95398074,-2.3244903,1.1838561,0.94012004
SK-N-FI,-1.1086658,-0.10231112,0.9807563,2.4479384,-2.5150118,0.2522015,-0.019521274,0.5283543,-1.5023907,2.0503676,3.2302382,0.22420837,4.731557,0.59681827,1.0279557,1.8673937,0.48345065,-0.16800869,-1.638249,0.4177406,-1.9045587,0.09149499
Hs 274.T,-0.0057352185,-1.9461613,-0.39232284,0.2760877,-0.45433325,0.7936881,1.9139568,0.07584148,-0.8611473,0.31086367,-1.1876854,-0.11085034,0.026268676,1.4759213,-1.2196178,2.0302322,0.39518592,-0.44995293,-2.4283667,1.2109839,0.4233448,-1.8526983
