,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
NCI-H1573,-1.1254034,2.7639124,-0.5259438,0.51640636,-0.6427359,0.14487918,-1.1505435,0.86741763,0.26538074,-2.860312,2.171567,-2.843176,-0.45965183,3.1558847,-0.22501141,1.5082135
RD-ES,1.1276252,-0.7745065,3.4990683,4.405904,-2.6482816,-0.63356876,1.8138127,5.0607977,1.0474781,-2.4394166,1.6240675,5.8740654,1.5492496,2.2430723,-0.26618803,6.331001
OCI-Ly3,-4.598575,-10.912928,1.7453966,4.03895,-3.4802995,-10.233648,-6.9785624,11.178918,-4.262744,-1.9247388,0.53947824,0.389257,-7.808894,13.792961,-8.770686,17.7636
NCI-H1650,-2.4052649,0.50321096,1.6903981,-2.2868128,4.554686,-0.58784604,0.7493388,-1.8924128,0.56728595,-0.9993288,1.6171572,-2.718492,-3.0455506,-1.4055276,-0.8934868,0.10099991
CPC-N,1.6636268,1.8352894,5.0553126,10.043154,-6.596508,1.3945025,7.4113846,8.700126,1.6604683,-9.342789,4.2650185,11.090547,3.2153864,5.073271,1.2692354,10.809766
TCCSUP,-1.4306121,-1.3210162,3.2155654,1.9268038,3.6429799,-0.7603744,4.157821,3.2005086,-1.2018282,4.83667,-1.2380105,7.0273714,-4.5160403,-6.305276,-0.1365177,0.95654136
NCI-H28,-0.95131505,1.7237055,-0.73568594,2.1938455,-0.06401769,4.8533316,4.648767,-3.9530964,-0.48770574,-4.337036,1.6405195,1.0649388,0.4571041,-1.7697484,1.0569931,-2.2518022
TE-1,-1.7547568,0.54086554,1.5130839,0.08649957,2.0993881,-0.6279365,1.1534655,0.3608374,0.7386137,-0.2607174,0.53177387,0.05591269,-2.5300326,-1.3518914,-0.49022093,1.0901792
KOPN-8,-5.9700084,-16.410706,3.173644,4.8213296,-5.0489664,-17.998964,-13.717977,18.385237,-3.140814,1.3935577,-2.5122094,0.21024968,-12.082944,20.97543,-12.898974,28.716925
Karpas-620,-5.2749543,-11.326807,1.3787557,3.4354565,-3.3864894,-10.729781,-9.025151,11.344923,-5.250513,-1.3463578,0.76325077,-1.5300814,-8.692753,15.092998,-9.407166,17.84057
TEN,-1.3388071,1.8680028,1.3057346,2.651806,-0.95732933,-0.9644953,0.29572,1.7783874,2.800476,-1.4364442,-0.388845,0.4808156,-0.6559367,0.85737675,-0.28637078,3.060529
