,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115
HuH-6 Clone 5,-2.0433974,-0.0027248976,1.3537954,-0.51834226,1.5914931,0.9628175,-2.031211,-0.005088497,1.5379659,-0.75953746,1.6736283,2.1725354,0.77268696,-1.8008347,0.5218172,-2.394701,-0.013456464,-0.3729758,-0.8522771,2.1891894,3.5517,-0.47156924,-0.0784367,1.646537,-1.9065176,-1.2717865,-1.061455,0.8267944,0.94831663,2.509347,0.59740055,0.9106514,-0.5133295,1.5536475,-0.6771983,1.8020072,0.33356073,1.6555097,0.87361515,-1.0280013,-1.4373167,-0.760305,0.033366755,-1.1343412,0.2943852,-0.8949044,0.03805951,0.7601977,-1.1476513,2.500722,0.4191801,-1.3002799,0.661436,1.6590397,-0.3126993,0.84609425,1.1595075,1.3511374,-0.18402475,-0.661552,1.1891568,1.5492308,-1.9616503,-0.7254495,1.6020906,-1.2943386,2.0689638,2.1254785,-0.4271597,0.035066,1.1996338,2.0762954,-0.5735124,-2.7775595,-2.3172224,0.90824956,3.391869,0.8120902,1.3308432,-0.74889076,-0.62726253,2.7554688,0.531806,1.0485159,1.9184753,2.3720682,1.9650941,-2.0514088,2.2038689,0.79362226,2.6870303,-1.0051217,-2.2139642,-0.75946784,-0.43080428,-0.67488533,1.1049713,-1.000446,-2.49115,-0.95765704,-2.0094078,0.045055445,1.6198715,0.069879204,1.6944861,0.30681318,0.698443,2.033359,-0.9061724,-0.2369507,0.31143314,-0.43396628,-0.31219754,2.2233257,1.1578095,-0.10164631
HuT 78,1.3519887,0.81968015,1.6039919,-0.72468674,0.04808777,1.785489,-0.44794914,3.1858864,0.42146856,0.17211571,-0.5243212,1.8151513,-0.377273,-1.3281988,0.25690246,2.2499378,-0.51536953,-0.8763603,-0.057261184,-0.519605,-0.2676278,-1.3938038,1.1610525,-0.1405524,-2.093062,-0.10937026,0.6357871,1.6026067,-0.39798772,-0.27311653,-2.3407414,-0.8022361,-1.3398676,-0.43839633,-1.9178257,0.73962146,-1.2982613,-2.7771893,-0.7275639,1.2400991,-4.4969506,-1.830421,-0.92306936,1.8031363,0.0093702,-0.7245115,1.8472465,-0.5036195,0.83840644,-0.91105103,0.28876564,2.203216,2.956957,-0.55965734,-0.52490246,0.42130658,-0.050161213,0.86320335,-1.820914,-1.1177778,2.9149733,0.09811537,1.9516933,2.1267712,1.5658584,-0.47430634,-0.24843708,-0.55968267,-0.8618081,0.23021685,-0.94394475,-1.1407982,0.95096385,-0.88159543,3.851409,-0.99132586,-1.6119907,0.050850827,0.3097803,-0.42235973,-1.5027993,0.58553827,1.736976,-1.2415521,0.68837714,0.67443633,-0.34187883,0.0511986,-0.47977638,-0.14441955,0.48404157,-2.0822449,-1.3439423,0.6312147,-0.7230732,0.5795572,2.7003336,0.61516625,0.29205778,-0.9737359,0.49609077,1.655702,-0.9588497,-1.0301106,-0.49178517,0.4055236,-1.6639913,-1.910464,-0.47431916,2.3885574,0.7185736,-2.1691742,-0.9066519,0.13548303,-1.3906293,0.98766106
NCI-H2227,-0.47869027,0.19028068,-0.7601727,-0.6302065,0.23827465,-2.6758606,0.8272357,0.5910815,-0.51028454,1.7867575,0.37606606,-1.4449316,0.67105937,-0.7955394,1.2967355,1.4338971,0.09575749,0.90259624,-0.7203898,0.40746766,-0.8907511,-0.6582416,-1.8879313,-1.8745544,-1.0002393,1.6093445,-2.9147987,-0.22540423,0.56501526,-1.4327232,0.29314348,-1.3138106,0.9032661,-0.82958835,-1.0354985,-3.7107477,2.6889691,3.3252306,-1.9148592,-0.5947647,0.35517183,0.73755795,-3.3266165,0.60888016,-0.16918534,0.6540531,2.0350995,2.2903259,-2.024408,0.6980259,-1.0473156,1.151947,-1.3038193,-1.7062454,-2.2927058,0.3544398,-2.3164284,-0.83218676,1.7157943,-0.57802063,-1.2600504,0.013348471,-0.5322128,0.89539015,-0.7659673,1.3954922,-1.4794286,0.8704887,1.1640924,1.377082,-0.30579275,1.939875,-2.211806,0.45202872,-1.937953,0.4183419,2.4127827,-2.0112042,-0.102426454,0.08982326,-0.119501114,1.5207026,1.0678045,-0.6197404,0.88254976,-0.4689754,1.8428105,-0.04596754,2.5378761,-1.238011,0.44028604,-1.7945577,-0.5730984,0.6269062,0.9130117,-0.7881969,-0.5827577,1.6721836,-2.6975982,-2.0995612,0.29763567,0.38721877,4.6086845,0.515123,0.0049054064,2.7639823,1.3573983,1.608933,0.71456563,1.8876635,0.24159425,-1.148142,0.51205146,1.0056711,2.1602063,1.0486585
NCI-H1651,0.17886075,0.8128226,0.72361225,0.02796887,-0.43693694,-0.091549456,-1.0503988,-1.1068141,-0.24719888,-2.740529,-0.6285008,0.51871425,-0.47452495,1.9617438,-0.8582783,-1.8736413,0.14975865,1.028553,-1.9103702,-0.10625701,-0.65082574,0.422551,1.0193348,-1.9215077,0.36213133,-0.08918786,0.8245125,-0.055655673,-1.2500447,1.2620697,0.38201857,0.5760412,-0.6845364,0.33172154,-1.5353528,1.1171106,-1.6320302,1.2009928,-0.23910832,0.08526086,0.4373054,0.20584597,-2.1635742,-1.1167095,0.34591448,-1.7640953,-0.20748515,-1.2525926,0.22413385,-1.0912834,-1.0472093,-0.63733834,0.32309934,-1.1148859,2.5671234,-0.32660007,0.4792212,-0.44372725,-3.075736,1.9551431,-1.7692829,2.402602,1.607931,-1.0107721,1.7799017,-1.2223747,2.5745034,-0.604887,-1.0429779,0.47608972,-0.15140845,-0.27344885,-0.39201978,0.33893785,1.813424,-1.342215,-0.5049378,-2.412516,-0.15737155,0.5999317,1.5074972,2.1050973,1.1251699,-1.4510124,-2.7235234,1.18587,1.1234806,0.27064893,0.38308161,0.62866116,-2.7507377,2.13156,-1.6390328,-3.4146042,0.069319904,2.5747373,-0.053821802,-1.2148924,-0.19417383,-1.1184639,-0.7446667,-1.5491122,-0.0457706,0.07697019,-0.85712683,-0.23247635,0.9299486,0.4013772,-1.9202992,-2.2859902,0.1458803,-0.9149138,1.9102429,-1.9255927,-1.5599041,-0.022706233
NCI-H2228,2.5723104,1.4857587,0.08337587,1.3351723,-0.2639162,-0.7344905,-0.5008796,-2.455099,0.18733421,-2.1069825,-0.5694388,-1.6534485,-0.55928785,4.435544,-0.7103205,-0.9027577,0.4944092,0.70083463,0.6421838,-2.6467772,0.91192955,0.88642204,0.8741894,-3.0580585,1.9842,2.3868198,1.3914413,-2.1567018,-3.7591174,-0.9127991,2.8025496,1.0036983,0.7203364,-1.5955675,0.675224,0.1864207,-0.9431143,-1.1505299,0.7948895,2.0421083,1.6165124,-0.34140462,2.8269901,-0.97413087,4.6003213,0.8570624,0.568625,-3.101456,1.159198,-3.2029102,0.40586716,-2.3655205,0.32565475,1.9827865,1.8707803,1.7862942,-0.213415,-2.6226432,1.1447171,0.06920542,-1.8811615,0.34577405,-1.8762791,-0.46223822,0.7822143,-0.43296447,1.217428,-0.033915967,-0.6687051,1.8301327,-1.278772,0.12596756,1.4422989,-1.0488393,-0.9016475,1.178084,-2.911629,0.8012252,-1.1864246,-3.038621,0.52721137,-0.57294524,-1.744412,-0.46692887,-2.7001772,-2.8811095,-1.9687539,1.9736594,-0.81140476,0.8923971,-3.0680141,2.7152004,4.3801475,-2.7588003,0.16561332,1.8697411,-3.1662579,-0.039826922,1.4087429,1.6413517,-0.7808641,-0.63177586,-2.7910717,1.2023127,0.032327563,-1.359715,-1.2434685,1.2614417,2.9517055,0.8896942,0.332499,-0.7046091,0.7876063,-1.1927611,-0.11515705,0.55274564
KYO-1,0.6007935,2.2451966,0.013249196,0.40747404,0.72108674,2.6957297,0.8900629,-0.946835,-2.3086724,0.014719009,1.2808338,0.7952015,-0.40235063,1.2890712,1.0034584,-3.8158343,0.090387605,1.2026479,0.5309645,-0.32150605,0.19000852,-2.2939374,-1.6332299,-2.7561922,-0.78367174,-1.5576124,-2.2487385,0.5685326,0.053421687,-1.810537,-0.23520838,1.7502233,0.6875384,1.2332573,-0.090692475,-2.617029,-0.36357307,-1.1950054,0.5919817,-2.208723,0.8691194,2.2271535,-0.26202473,-1.5835316,1.8405265,-0.21467355,0.1169292,-1.8590306,0.33458203,0.57172996,-0.8950412,-1.3945572,1.0729645,0.896615,1.3547844,0.18362044,1.8412075,-0.33947393,-0.77817756,-0.40030724,0.59655,-0.8102383,-2.6282558,-0.57845974,1.5488287,-1.3026029,-0.8199109,0.72982466,-2.5753126,0.49936277,1.3755261,-3.0927656,0.788196,-1.3030137,0.2588988,1.1065267,1.7919874,-1.5574845,0.22130294,-1.3768817,-0.6663115,-0.9807515,-1.1727263,-0.84606034,-0.44261116,1.896146,0.82248205,0.3812706,1.323167,1.2279136,-0.41784918,-2.6279144,2.3414917,1.282505,-2.4166772,0.40966097,-0.18541345,-0.48657015,-0.7333438,2.785466,0.22912812,-2.264194,0.09261105,1.1287073,0.3646548,1.2044544,-1.0996892,2.2268903,0.5697711,3.2132938,0.30637446,-1.9665632,1.703693,1.9295381,1.1322253,0.96006256
NCI-H3255,-1.371645,-2.1164048,0.8918183,-3.297329,1.3064481,1.809038,-0.16802394,0.09634981,0.49320796,-1.5054579,-1.8441441,2.8016148,-0.02548772,-3.49432,-0.59668046,0.714809,-1.6045293,0.4085009,2.329569,1.6950185,-2.941076,-0.45318067,-1.1984305,2.125192,-2.53652,0.24991423,-0.3984022,0.27960965,-2.6804564,-0.7796909,1.1136954,-1.9697694,-2.5162177,0.44516796,1.6112967,4.04691,-2.3632975,1.0092155,-0.8298409,1.5419271,-0.41322964,1.8103921,0.34203914,0.38543326,1.3411535,-1.9862399,-1.674075,2.026608,-0.965999,-1.3150798,2.506418,-2.0393944,-1.1654106,1.9988259,-1.5358253,-0.34949127,1.013414,-1.3878362,1.5249808,0.90035564,-0.022800853,-0.00015343726,-1.4590535,0.80749327,0.3144058,1.4845504,1.5584934,-3.511997,-1.2837539,-1.7156603,-1.4717538,0.42234683,-0.49228764,-0.3794253,-1.8818331,-1.6553397,-0.3646428,-0.5277686,3.087196,0.036198016,-2.614901,-2.2858372,0.42708734,-0.32938397,3.5681906,-0.07498219,0.20493531,0.30651733,1.1172231,3.1677723,2.496304,1.4574945,-1.8187504,1.0269303,1.0149755,-0.21679175,-1.9465177,1.0144517,-0.5747261,0.071446985,0.5829244,-0.52572894,-2.527153,-0.69705737,2.6846828,0.36126643,1.9013325,0.23516905,0.3834567,-2.474096,4.0571995,2.7482173,-0.6917183,1.6713437,-1.0972173,0.7775581
LCLC-97TM1,-1.4438334,-1.1849447,-0.38858837,-0.64619505,1.0138116,0.2912361,0.5702979,0.11878333,1.6364843,0.11919421,-0.6529831,-0.13764769,-0.5656604,-0.29968816,-0.122898564,1.3864639,-0.5131589,1.7611883,1.2919915,1.0433637,-2.35425,0.86090374,-1.7978824,0.07393876,-0.25677183,1.3982784,-0.77500856,-0.44568717,-1.9207809,-1.0060467,1.0782214,-1.2427231,-0.5036264,-0.01808682,2.0927742,0.5126185,0.8243974,0.05683741,-1.6811081,1.2866755,0.98084277,1.5657494,1.0820873,2.375585,0.6912619,-1.3951542,0.32492596,2.324696,0.8117132,-0.57248694,1.6719449,-1.1198535,-2.4307725,-0.677132,-2.7614052,-0.8240488,-0.04686993,-1.3840466,1.0504286,0.69035995,0.17925054,-1.3760338,0.15363833,1.100798,0.5143984,1.9955342,-0.044550244,-1.2802988,-0.27464092,-0.50175446,0.21370721,1.4893938,0.23315144,-0.26285714,-1.2332706,-1.9160466,0.36248264,-0.08823089,1.2830952,0.45725572,-0.159347,-1.9894426,-0.076561175,-0.0625754,1.9138004,0.48643965,-0.387056,0.6919554,0.9414042,-0.542562,0.1919621,-0.50722736,-1.2150862,1.4879321,-0.06713082,-0.3959468,0.11938652,2.1090226,-0.1489106,0.028912954,0.0977803,-0.022750296,0.010315508,-0.955204,-0.0009315908,1.4061852,2.189623,-1.3817555,1.9749707,0.003987273,1.2634162,0.6325971,-1.505648,0.9354376,0.12738281,1.1568848
SK-BR-3,-1.3796184,-3.6558452,1.5134051,0.8223456,-2.6569672,1.5100906,0.8332375,-3.1968715,-0.18822892,-0.23146383,-0.2012576,1.5565633,0.090784915,0.16721839,-1.8331772,-3.6702638,1.5758749,0.30212048,1.9169694,-0.80691594,-0.24525851,-4.1670847,1.0393326,2.182871,1.7985132,-2.4732716,3.4575398,-1.4661261,0.991057,1.111661,1.8060019,-0.90040624,-1.2752306,1.040658,1.5687175,-0.59869456,-1.9863913,0.23463747,-1.0792835,1.707135,-3.4035273,-2.0583084,4.4887114,-4.258889,1.2789006,-0.052901812,-1.4817886,-0.089463934,1.8064927,1.1712074,4.227717,2.0085275,-1.336073,1.9519606,4.959788,0.23445323,1.5881473,1.0894127,-2.2923527,-1.6719707,1.4950972,0.44019675,-1.1054132,-1.3357458,-1.955909,-1.6508101,2.0440547,-2.2479107,1.114206,-0.91776067,-0.63362294,-2.5940742,-0.7884414,3.2909615,0.2147495,2.09063,0.65074164,1.9419421,-2.8305748,0.14380872,2.3788126,-0.5548099,-0.53143704,1.8602169,-2.9930634,-2.4500003,-0.7195331,-1.1489512,0.82246256,2.1428366,-0.20052166,1.2920381,2.164907,0.79383075,-0.5065882,1.6267979,-1.2939776,-4.360981,1.9436225,1.9106101,0.36473638,-3.1763997,-2.2764313,1.1533232,0.7414108,0.4793172,0.5725834,0.38238278,-1.8575399,-1.1764207,-0.1883958,0.95823747,3.4741275,-0.01794722,-0.97839665,-1.7241323
PE/CA-PJ15,0.54655397,0.04579188,0.443386,-1.867814,-0.31083438,-0.8748133,0.4801557,-0.33942375,0.3382253,-0.37233722,1.103795,0.6294596,0.560824,-0.62451345,-1.093262,1.3998986,0.9553879,1.2327602,1.2767849,0.5644495,-1.59617,0.80066806,-1.1976507,-0.083898365,-2.9694057,1.4416564,-1.2985302,0.41938955,-1.1100526,-1.0596886,0.38297763,-1.4989756,-0.033911504,-1.594355,1.9809803,-0.00772053,0.5034064,2.1151621,1.0681047,0.7272614,0.42227262,2.6062417,-0.8593916,1.2781945,0.35177734,-1.8349367,-0.8150167,0.69043905,-0.062742665,0.3798124,-1.0902793,-1.6234668,-2.813665,-0.46108294,-1.8534393,-0.8683239,-1.3313904,0.8735234,0.9353021,-0.66372156,-0.40792325,0.26717335,-1.9859107,1.2857306,1.0449915,0.58425665,-1.5466638,-1.2548186,0.78808147,-0.19981936,0.0629254,1.7868522,-0.837611,0.18045518,-1.8521951,-1.3866655,0.32313466,-1.8482634,1.190664,0.48574886,0.41480523,-2.0244596,-0.81633735,-2.4812884,1.3544666,-1.5492427,-0.62858343,0.51444495,-0.40668014,0.89491606,1.6799124,0.9791304,-0.46920925,-0.59922904,0.7530087,-0.16158307,-1.3735058,1.8899064,-0.6654607,-0.692407,1.8285499,-0.4243245,-0.6035943,-0.27668023,-1.075526,1.3502667,1.6257459,-1.0015937,2.747809,2.25713,1.8742977,0.9943715,-0.70804656,0.67394316,-0.96187824,-0.3223419
SU-DHL-1,0.20105934,-0.60194457,3.364055,2.0825064,-2.2745852,1.8756253,0.38198024,-0.9384308,-0.61661077,-0.56403637,-2.1821065,0.67962426,-1.2969439,2.3964288,-0.8695092,-0.90500563,-0.18779582,-0.10890764,-0.19567582,0.21869251,1.6088864,-1.184672,-1.102054,-0.8112987,4.972305,0.6865773,2.6766007,0.23116346,-0.264777,2.7242947,-0.7983398,3.0048354,-2.1456013,1.3044994,-1.8532636,-1.6238827,0.40069723,-4.2502894,-1.487805,0.26646572,3.9641085,-2.3934045,3.9443905,0.119210124,-0.22123007,0.878694,-1.9996394,-0.053242795,0.32446024,-2.8916788,0.56033045,0.14831483,3.010779,3.388679,4.2376227,0.8569321,3.6638508,0.5704944,-3.1054506,1.313837,1.4030979,1.7667253,1.9830239,-1.1336186,-1.9426646,-3.2853703,2.0816104,0.41640264,-1.3031018,1.1555004,-0.40341926,-2.4829972,-0.18004774,-1.4810879,1.382016,-0.9454503,-3.739434,1.5903563,-1.0287366,-3.2588184,-1.682121,1.4309373,2.671806,1.4422672,-0.7402372,-2.773135,2.5846915,0.67149127,-1.6595311,2.0269473,1.6722445,0.88801014,2.0365975,0.5564024,-4.3109484,1.6015108,-2.655536,-3.443093,2.2434094,3.2235482,-0.47659543,-0.53930235,0.4647073,-1.3492665,0.6709988,-0.57361245,-0.4076501,1.2134497,-0.93090975,0.049931716,-2.9475167,-1.2045655,-0.8964719,-1.920291,1.9264667,-0.50114256
KG-1-C,0.15287721,3.0351415,-1.6087524,0.5997703,1.9890455,0.24414954,-1.8667647,0.5061647,0.46913144,0.50328696,-1.6194875,-2.8792744,-0.3488044,2.2272317,-0.5411287,1.151307,-0.40584326,0.8109268,-1.8948121,0.44133693,1.2957817,0.71976185,-1.8215461,2.2676795,0.048001602,-1.4381053,2.8534725,1.1790498,0.22591913,1.5286567,-0.3790064,-0.7742757,0.07361821,0.7032138,1.7935542,2.265405,-0.069718234,1.5499165,0.40818268,0.75026625,1.8296397,-0.7161841,-2.5342898,-2.1091154,-0.88059485,1.5464356,0.72588974,1.3720607,-0.959386,-0.4490143,0.573993,2.332991,-0.458663,-0.59668994,-0.55120254,0.06843972,2.4439304,0.8252071,-0.39217475,1.0798981,-0.102986604,2.9432642,2.3366039,-2.4942417,-1.3314842,-0.2929432,-0.47843173,0.26060128,-0.027105749,-0.37463886,-2.2181761,-0.058145076,-2.7521927,2.1397343,2.2994442,1.7615659,0.10057124,-0.35789305,-0.13603607,5.673235,1.382653,0.7616346,-1.1066864,3.7470438,-0.94122344,0.39099425,0.54858613,0.05563561,-1.0383714,-0.68044794,-1.0139161,1.003309,2.3229809,1.0944136,0.9589817,1.9182252,1.4138237,-0.98479265,2.549973,-0.21974893,-0.63658226,0.10109295,1.1416919,0.61623645,-4.8104587,0.2913373,-0.43317077,-2.4893036,-0.106565036,-2.4673922,1.5099846,-1.9895525,-0.05963174,-3.2231767,-0.72462755,3.2849195
SNB-19,-2.131236,-2.3054686,1.0557889,1.6208198,0.105371155,1.2931539,0.15456712,1.8261695,1.1021249,-1.7813479,-0.887362,-1.1990786,1.8806865,-0.99766546,1.0414534,0.6141838,-0.98827255,0.98430085,-0.68047696,-1.3898644,1.6792679,-0.3717335,-0.93448097,1.455297,0.59286416,-3.5201056,-0.2705303,-1.4127957,1.6543124,2.5017352,0.07299578,1.4668374,0.213215,1.6138021,-1.6063313,0.3750662,-0.8586395,1.4471313,-1.770829,-2.632758,0.67027795,-0.74742925,-0.9494136,-0.98890865,0.77236384,-1.4325032,2.079652,1.2207632,0.27171865,-1.8493519,1.714967,1.0338329,-1.6212281,1.8664694,0.10910398,-1.0671856,-0.9167504,0.24397719,1.6258181,0.27423897,0.885801,0.24750197,1.7166375,-2.2000046,-0.68996096,2.3941183,0.8479317,0.90310395,3.563676,0.30240917,-1.5674984,-0.15429284,-0.38878238,0.6008322,0.09699339,3.0543284,-0.11977795,0.7187915,-0.5618755,1.0849829,0.18371314,3.2552752,-0.5794802,-0.64170545,0.5142474,3.0651822,0.9844677,-0.63540655,-1.05615,1.2771934,-1.2702171,-1.245598,0.8868875,-1.6399351,-0.5748115,0.24162611,1.3890263,0.6202898,-0.01961869,-1.6836774,-2.0861034,1.5034763,0.39865285,-1.4175293,0.6925303,2.3030708,0.15261438,1.6991936,-1.8227632,-5.5342617,-1.8529718,-0.78012073,-0.24724391,-4.5076666,0.05569482,0.054755777
SALE,-2.0910633,-1.5488673,1.3727847,0.40067,0.5523441,-2.7772713,-0.5056106,-1.9434716,1.8642519,-0.33922818,2.5992289,-1.7672065,2.2617204,-1.502233,0.76945513,0.5468893,1.0016751,1.0191007,0.007970989,1.3177603,-1.4866142,-0.92321086,-1.8532788,-0.77048385,-0.6613821,1.2750647,-2.751157,-2.1344965,1.1544586,-0.36241788,0.012556765,-1.2631038,1.2016441,-0.785425,0.71129626,-0.46240118,2.7285542,1.4136838,0.26244256,0.70352656,2.0555742,4.171409,-0.72408295,2.366821,-0.31490755,-3.1561232,1.5195256,3.1695855,-1.6528293,0.967152,0.17673266,-1.2565396,-2.9844148,-2.22272,-4.091744,-2.6178257,-1.8718684,0.36359674,2.2911468,0.8988928,-1.8523462,-0.9035318,-1.8503307,0.8517354,0.760858,1.5952457,-3.2221766,0.32603395,0.12681252,1.4637065,0.79976356,1.4909455,-0.37266248,-1.67465,-1.9409127,-1.9244075,2.8466613,-1.415946,2.2919145,0.5070688,0.62838703,-0.8456077,0.921237,-1.0144644,0.33697346,-0.6522203,-0.5561998,1.1183317,1.3366145,0.9547915,2.7018816,1.1761274,0.35310686,-0.096075684,0.8762035,-2.8870885,-2.2517588,2.3087935,-1.4890317,-0.5372144,-0.7270767,0.29216787,2.2865615,-1.1555209,-0.605626,2.086278,2.649133,-0.07877557,2.2419763,2.783152,1.4651251,1.3709468,-0.59096247,2.022557,1.4606946,1.5239282
SW1353,1.3161514,0.87253517,-0.36239108,2.2243085,-0.18604566,0.28413457,-1.9465191,1.2433845,-0.6807502,0.12868999,-0.7629218,-0.35256287,0.6958841,0.2470504,-0.4155804,-1.8372028,0.47414142,-1.7118607,-1.1364119,-0.604217,1.3584044,-0.6388137,2.0712104,-0.12194114,2.4053895,-1.1350197,0.88132966,-3.4852843,0.3233218,0.8980133,-2.1550272,-1.0479428,2.0023904,2.735896,-2.126957,1.2080206,0.5873074,1.5645176,2.2868204,0.1451689,-0.133691,-1.2090629,0.46856144,-1.1580343,1.7581607,-0.36404207,0.7561032,-1.2584549,1.7052675,-1.7293695,-0.2827708,2.113771,0.25301248,0.49017483,1.5680598,0.9467301,-1.7538391,-1.4844421,-0.58757395,-1.7201182,-0.62049055,-1.5599282,-0.5524373,-0.5080607,-2.0481946,0.70145667,-2.1557713,-0.3325682,-1.2608645,1.5262369,1.6458565,-0.2323131,0.85447913,-1.051311,-0.5711111,1.0179149,1.8207966,2.003098,-1.3404472,-0.8331632,0.5783282,0.96803284,-0.82539046,-0.74037564,-1.4491049,0.29839993,-0.44833243,-1.1591307,-0.79680705,-1.944687,0.1999651,0.28315485,2.3462667,-0.8639586,1.1104016,-0.4381057,0.13680243,2.3825436,0.96194077,0.18975843,-1.1210482,2.5104222,-0.57440776,0.6911173,0.48206365,-2.821964,-0.075031534,1.3524375,-1.2746437,-1.6260493,-1.2109789,1.6760595,-0.7002758,0.23413739,-0.037683785,-1.1424657
PE/CA-PJ49,-1.8646339,0.27005112,0.5188228,1.4669884,-1.2558467,-2.6046903,-0.8615602,-1.1605424,0.36784512,-1.4276457,0.48974666,0.5759834,2.3994231,-0.4006524,-0.73491466,-0.3489109,1.3344455,0.30462253,1.63262,-1.494184,0.87410694,-0.70879245,-0.53320175,-0.97587425,0.4868858,-0.57900846,-0.37796324,-2.7624137,0.14233851,0.71235675,-0.23205385,-1.0169739,0.6918551,1.0514686,0.4443039,-1.8274163,1.1604061,-1.0201367,0.07843673,-0.70972425,2.241373,4.1179852,0.32284138,1.4443127,1.2095379,-2.7725983,-2.0999753,-1.7230254,0.066708125,-0.37749967,-1.3050473,-1.0254205,-1.5504024,0.50746655,0.70922345,-0.97236216,-2.3046956,0.52855664,2.487357,0.93696743,-2.577832,-1.9966822,-1.3302877,-1.6385889,-1.1670401,1.5641202,-2.2401295,-1.1779603,-0.8130993,0.4700415,0.00018537045,-0.17411076,1.2633812,-0.80878174,-2.0667348,0.110460095,0.26484042,-0.8060975,0.44397247,-1.2125924,0.69132227,0.020906623,-1.8983408,-2.5294924,0.66627204,-2.4210067,-1.0305084,1.1559262,-0.66586906,1.4070944,0.656058,-0.31790143,2.6589386,-0.6233945,-0.07003317,-1.2101474,-3.0153184,1.1358327,2.246823,1.829773,-1.2393924,-0.42204073,-0.6373548,-0.15405984,0.04175801,-1.3116683,0.99480706,1.2978164,-0.045645338,0.58147395,-1.2653172,2.3961585,-0.9302101,-0.8416127,-1.1816448,-1.3273709
NCI-H2066,-0.09402801,2.3440325,-1.8568469,-2.426223,-0.4284763,-0.17149623,-1.1597569,-0.22202069,-1.2539247,-0.61833555,-1.0335288,-0.7142772,-1.5310242,1.2238506,-0.7450098,-1.0800534,-0.49344528,0.58456606,0.4500258,0.681957,1.6622577,2.6615212,-1.0569854,-0.45516762,-2.2406144,2.7801964,0.8339399,1.2526855,-2.0713742,-0.4892074,0.44187206,0.044702616,-0.5409379,-1.0202489,-1.1231897,-0.49415424,-0.10192762,0.588114,-1.3205674,-0.72147745,-0.41768357,-0.40013805,-1.1331916,0.06739156,1.696252,-0.46713188,0.15095086,-1.012479,-1.2015915,0.44528624,-1.0775894,3.5115328,-0.0371634,0.030633777,0.27732134,1.2286891,1.1287625,-0.050289083,0.20719534,-0.86440706,-0.52053696,1.1923045,-0.8788794,2.2660513,0.15362638,-0.698821,1.4469371,-0.14932035,-1.429171,2.1653335,-1.1113633,0.5261257,1.0777961,-0.77169895,-1.2198547,0.9616765,0.78119797,-2.1054149,-1.4879856,1.4298899,-0.74371415,1.382026,-0.14815766,-0.13369058,1.2683169,1.3707851,2.3636389,2.2436397,2.72934,0.204057,0.91141474,0.90830684,-1.1697232,1.6984348,1.2070935,2.552483,0.4946875,-1.470844,-1.4609367,-0.8740379,-1.2264365,0.0003949533,1.4999096,1.5298291,0.6435206,-0.35289773,1.1448165,1.9542391,-1.2706134,0.096355006,0.8861108,-2.118493,1.8219136,1.4821163,1.5516737,-0.60427266
TT2609-C02,0.6697041,1.7999097,1.1944919,0.36685094,-0.3795053,-2.619471,0.00980413,-1.1384548,1.1668193,-0.7383461,-1.1167985,-2.6378458,0.14496487,1.8217529,0.8078121,1.2923572,0.09211394,2.071024,1.4022709,-0.3779548,-0.71712863,0.35742483,-0.9230959,-0.32930687,1.5952744,0.49123022,-0.38853484,-0.87514186,-1.5199302,-2.1295922,1.0599436,1.9051015,1.2028834,0.12643054,-3.1554098,2.3433454,-0.021611806,0.10683141,-0.95411396,-0.48098665,0.36030793,1.7769905,0.70383745,0.19317245,-0.14545071,-0.52829665,-2.2082286,-2.1330016,-3.2707815,-1.392267,0.6932027,-1.6798614,1.339593,1.2354566,0.38311544,-0.8452965,0.663561,-2.7525625,0.004819056,0.33913612,-1.3790118,-2.6283498,0.26789963,1.0579222,-2.0628185,0.69601727,-1.6521561,-0.6596896,-1.0783144,-0.27464825,-0.597954,-0.060580105,1.6088187,1.6802622,0.64787376,1.5977755,-0.59056824,-1.192835,-1.4706985,-1.3877635,0.30193728,-0.17653447,0.22108722,-1.1204501,-1.7604736,1.2615342,-3.3353193,3.3774774,-0.36169595,-0.284309,-0.36445668,-0.85591054,1.7414439,-0.07604562,0.17109014,1.0037087,0.6503277,1.1842252,-0.52618206,0.97846043,-1.1798077,-0.64920545,0.3164363,0.15892863,1.8605756,-3.3317354,-0.35718915,-0.6442625,-1.9379269,-2.8088696,-1.045132,-0.6656991,-0.7771093,0.652148,-1.4564487,0.2791073
