,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
HMC-1-8,0.49908853,-0.024418682,-0.042355374,0.5197638,-0.48006356,0.1979927,0.21329597,0.16752362,0.1280048,0.29672414,-0.05581747,0.21599351,0.5628916,-0.53215116,-0.17943996,-0.03165543
DU4475,0.095067605,-0.39962578,-0.13200796,0.21960796,-0.38708633,0.22443913,0.43227422,-0.3469666,-0.044298016,0.3134783,-0.43498755,0.4337168,-0.08446767,-0.04718761,0.132104,-0.05442117
Hs 739.T,0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
CHP-212,0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
Karpas-422,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
CAL-62,0.49908853,-0.024418682,-0.042355374,0.5197638,-0.48006356,0.1979927,0.21329597,0.16752362,0.1280048,0.29672414,-0.05581747,0.21599351,0.5628916,-0.53215116,-0.17943996,-0.03165543
DAN-G,0.8716695,-0.019239306,-0.030165672,0.3631869,-0.8351214,0.2823204,-0.12772837,0.5094408,0.08231971,0.69011927,-0.14688155,0.14885971,1.0218023,-1.0880939,-0.42917532,-0.2690466
Rh18,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
L-1236,0.36154443,0.22849536,-0.076667026,1.1850835,-0.66110206,0.15152507,0.2631004,0.45115912,-0.36549345,0.4999696,0.2984839,0.034787238,1.074811,-0.59925157,-0.033394188,-0.11008115
HEC-59,0.10607967,0.13790429,-0.83255535,0.6749021,-0.6900464,0.69712627,-0.48356625,1.0040805,-0.9245986,1.4717724,0.42536724,0.24137864,0.88068974,-1.1177018,0.3895202,-0.6152544
NCI-H2347,0.73458487,0.30360994,0.041555017,1.0804346,-0.8177742,0.18823558,0.08785403,0.7749438,-0.091997184,0.49321055,0.46007746,-0.10462904,1.3781004,-1.0127296,-0.37899584,-0.12913017
BICR 31,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
TO 175.T,0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
HDLM-2,0.15176167,-0.454353,-0.24633406,0.40119404,-0.5516672,0.14866379,0.5899238,0.017745227,-0.2958198,0.461799,-0.22940361,0.33406135,0.030519769,-0.08794602,0.10012886,-0.109800436
SNU-449,-0.17869905,-0.40470564,-0.28753975,0.60276735,-0.16648893,0.66498953,0.38756213,-0.20902659,0.25319383,0.72853243,-0.84592193,0.47700992,-0.2725314,0.32024777,0.3508853,-0.065683156
OUMS-27,0.05922793,-0.27975282,-0.21343926,0.4018895,-0.23364995,0.13049236,0.49390498,-0.35340127,-0.10808072,0.2596433,-0.4442689,0.48057964,-0.07012613,0.086836174,0.23055622,0.0117654465
TE-10,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
CA46,0.24286468,-0.03548588,-0.43078226,0.8649714,0.123967856,-0.34912932,0.80671,-0.3336243,-0.2659275,0.12635066,-0.7772713,0.6679081,0.03962381,0.49036658,0.34878907,0.20802347
Calu-3,-0.37482142,-0.61367875,0.104238376,0.983808,-0.3863706,1.1650004,0.55537415,-0.17030601,0.83827066,0.88976604,-1.0401528,0.19794731,-0.30707657,0.57227385,0.18790647,-0.033884384
KHM-1B,0.8716695,-0.019239306,-0.030165672,0.3631869,-0.8351214,0.2823204,-0.12772837,0.5094408,0.08231971,0.69011927,-0.14688155,0.14885971,1.0218023,-1.0880939,-0.42917532,-0.2690466
IOMM-Lee,-0.24974886,-0.14482185,-0.45279735,0.6919254,0.041754454,0.17267962,0.5935082,-0.22970457,-0.2711829,0.22013028,-0.137875,0.49356744,-0.25653344,0.33854127,0.516122,0.09571969
SNU-308,0.24286468,-0.03548588,-0.43078226,0.8649714,0.123967856,-0.34912932,0.80671,-0.3336243,-0.2659275,0.12635066,-0.7772713,0.6679081,0.03962381,0.49036658,0.34878907,0.20802347
