,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
KG-1,-0.5778408,-1.133066,0.315636,1.5600684,0.71631145,0.857246,-0.98020726,0.31480193,-0.45866612,0.4531535,0.58540666,-1.708007,-0.07785642,-1.3743571,0.07928023,0.98091567
Hs 698.T,-1.0736542,-0.4434465,-0.29355767,-1.9606692,-0.6403692,0.9016717,0.39034328,0.53877914,0.017216189,0.5303842,-0.6427698,1.3781409,-0.39804968,-0.055397227,-0.84933335,-1.6403728
MFE-296,0.33064947,-1.4108529,0.42016134,-0.6161853,0.6304577,0.9774715,1.6270351,-1.3142531,2.2690303,0.059507407,0.1537895,-1.4322157,2.5126948,1.1199989,-1.1405628,1.8523273
MOG-G-CCM,0.05669498,-0.036423344,0.63352996,-1.3936263,-1.0980626,0.724525,0.055115514,-0.3282346,0.24795103,-0.9354623,-0.14954856,0.20067717,-1.4969172,0.3843736,0.21579474,-1.0752773
CADO-ES1,-1.7145622,-0.34051242,-1.6189184,-2.3332846,-1.1771964,1.2579772,-0.08546313,0.036093272,-0.6563859,0.9434523,-0.25430408,-0.8806096,0.08895491,0.013621878,-0.21428393,0.88965005
JJN-3,-1.2792466,-0.25476107,-0.6424509,0.3423308,0.97424567,0.93935806,0.31051797,-0.71269107,0.46673796,0.4755314,-0.21964729,-0.64676833,-1.2377226,-1.4986929,0.4353347,-0.04655922
MDA-MB-453,-0.27321416,-1.4885769,-1.9035187,1.7149737,-0.013080382,0.9070659,-0.5263481,-2.357511,0.7377753,-0.1838602,1.7121092,0.66302943,-0.769023,1.0998679,-0.39504394,-1.1257346
NCI-H28,1.1068959,0.42450473,1.2764739,0.92042196,-0.32911053,-1.776749,-0.94132537,-0.6735453,0.8290286,-1.7313882,1.322348,-0.7965821,1.4750475,-1.4197094,-1.0793941,-0.21901214
COLO 818,-0.94961715,-0.13004027,-0.39717057,-1.8565294,-0.023669431,-0.6696092,-2.0692337,1.6889188,-1.4260263,-0.9929883,2.1379795,0.590457,-1.1427963,-0.23950648,-1.4512299,0.09626016
8-MG-BA,0.4944202,-0.5551499,1.781724,-1.0423175,-0.6792251,1.2439111,1.0753683,-0.4737551,1.3144445,-0.580537,0.4031003,0.46975416,-1.2980161,1.0836469,0.72615993,2.8974931
COR-L51,-0.4944794,1.052723,-2.2190957,0.29091787,-1.1200752,1.4945887,0.13748722,0.662592,-0.74814093,-0.6433311,-1.4583571,-0.7397097,-0.1348796,1.2328628,0.8214138,-0.2361285
HCC1897,-0.3021838,1.187175,0.28879014,1.3344512,-0.68807465,-0.3588983,-0.09579837,0.49573845,0.49147555,-0.51793903,0.2503184,-0.7417468,-0.22392866,0.54179484,1.2009836,-0.48438308
Hs 934.T,-1.0406877,-0.33679593,0.17183854,-1.7181598,0.121915564,0.7854814,0.25800806,0.4675154,-0.018974679,0.79933006,-0.46934205,1.2811913,-0.10721987,-0.404335,-1.1952777,-1.6453968
KMS-11,-1.2261274,-0.095622346,-0.97824806,0.016290154,0.44309062,0.9306074,0.5037852,-0.78773165,0.2968862,0.44030792,-0.13516082,-0.70700467,-0.744784,-0.8850846,-0.033223838,-0.15337263
LOX-IMVI,-1.0782574,-0.11758681,0.91282547,0.6897465,0.07538119,1.4789706,-0.612268,1.4500766,-0.64343446,-0.7813206,0.06150375,0.54076064,0.8142757,-0.7839527,-1.0500269,0.35136986
NCI-H1385,-0.8881217,0.065700434,-1.6348884,0.246647,-2.15121,0.5489525,-0.72321755,0.07695405,0.6395078,-0.66455734,-3.1070566,-0.7653276,-0.5410758,-0.47397587,0.4005866,-0.064606205
OUMS-23,-0.7630108,-1.3260857,-2.229504,-0.2982177,0.33326596,-1.7821501,1.5270504,0.09339418,1.140993,-0.7573869,-0.08518632,0.37383476,1.110442,-1.2701505,-1.8990746,1.4534177
ML-1 [Human thyroid carcinoma],-0.57529145,-0.59496224,0.4105139,-0.11914633,-2.5957375,0.39214727,-0.20955962,-0.63852566,1.4359626,-0.8060881,0.5338092,0.08264813,0.3027122,-0.07820609,-0.40657032,0.46394137
TUHR4TKB,0.2773409,-0.10608102,1.2738252,0.09435339,-0.2788597,-0.6565572,-0.59369147,0.24170321,0.90740174,-1.5860693,0.3217605,-0.06186805,0.7502338,-1.8686831,0.41899273,-1.2003663
NCI-H1436,0.47734815,0.8177675,-1.8759769,1.3346368,-0.42632174,1.459073,0.37222847,0.16084698,0.30684218,-0.29840022,-2.330696,-0.99182963,0.6610563,1.1882454,-0.6160872,-0.31644166
NCI-H2286,2.8258853,0.26637292,0.85865897,1.0513966,0.5506671,0.48650745,0.13963717,1.0812355,-0.26144335,-0.105287045,0.2850413,-1.8134074,0.9202929,0.3889041,0.011073111,-1.8598706
EJM,-1.0711367,0.13634437,-0.72239107,0.10410987,1.2530801,1.0913286,0.5744745,-0.21896212,0.18849981,0.98946506,-0.55768776,0.28063196,-1.7889999,-0.9471983,2.0609808,-0.16671568
SNU-878,0.24886538,0.55054945,0.7196232,-1.1201038,-0.4271833,-0.4745937,-0.8984148,-1.2613468,2.110967,-0.86390895,0.5290855,-0.516521,-0.85237026,-0.5522386,0.44130614,-0.09574209
CH-157MN,-0.82652813,0.65831476,1.4167813,-0.43433416,0.47942618,1.0062035,-0.087846644,1.0364864,-0.98561907,-0.09526489,-0.65726644,0.29134145,-1.1343434,0.15244037,0.48120418,-1.2089596
HPB-ALL,0.024019942,-1.5079111,0.019404635,3.0755918,-1.0705174,1.1531768,0.5470787,-2.5203724,-0.4874441,-0.18575191,-0.6395166,-0.21029818,-0.20980869,-0.2062481,-1.4771545,1.0578238
EB2,1.4082991,-0.68657035,-1.288368,-1.2608508,1.9187019,-0.2694406,1.065845,1.1377184,-2.3144126,0.9184997,0.72535086,-0.2540796,-1.7453679,-2.506598,2.0602894,-0.070222884
EPLC-272H,-1.1282667,-0.7921005,0.66898483,1.897044,0.012417808,0.028818179,-1.063296,1.6812073,-0.8885555,0.8429879,0.9763272,1.0338621,0.10554827,1.6164848,0.089627355,-1.9707173
JIMT-1,-0.9253077,-0.23215738,0.54575145,1.8003373,0.27132952,-0.4541459,1.3655553,-0.319237,-0.17622153,-0.37960815,-0.7150435,0.66775364,0.92623556,1.240668,0.5490619,-1.2678396
ST486,0.008671382,0.17784186,-0.83546793,0.3613112,1.0106025,0.58394486,0.64338106,-0.02035969,-2.846114,-0.14379469,0.0015244558,0.2265495,-1.0843881,-0.42767382,0.81459296,-0.04997861
