,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48
JHH-7,0.9356826,1.4367775,-0.2510568,0.8826614,-1.8085258,-0.014591195,-0.29501456,-0.14948468,-1.9603567,-0.33104363,1.1820091,0.4679755,-1.4177768,-0.32326078,-0.9613878,0.21693532,-1.6618756,0.5601449,-1.3151113,-0.62178457,2.245407,-0.4424987,0.92131114,0.6255639,-1.1010356,-0.42875597,1.4146453,1.3229275,-0.5272544,1.4777911,-0.40051746,0.051397566,-0.1723383,-0.50518566,-1.7481017,-1.051152,1.9947872,-2.9086447,0.21036448,2.2215812,0.93128043,-0.63962597,-0.5254008,1.94695,0.15897226,0.6112936,-1.0294046,1.885666,-1.0715595
LCLC-97TM1,-1.2029063,0.5403056,1.0960699,0.49863285,0.3637375,2.7716467,-0.26573086,0.61958617,0.9112669,-1.2141244,0.8150392,0.27886394,-0.5995539,1.239307,-0.6478969,0.9274766,1.3559874,0.9164287,1.0702873,-0.95696914,-2.2334218,1.4107549,-1.7252573,0.17039175,-2.7412794,-0.40662283,-0.98566574,0.21689592,2.408721,0.73978096,-1.1530914,0.40115857,1.5467882,1.1024575,-0.5965316,0.10001892,-0.7309785,1.399494,1.1932777,-1.3462856,0.16246445,-0.39496082,0.097211055,-1.2946761,2.2598972,0.7641784,2.323957,-0.7924574,-0.5811246
NCI-H1048,0.8949964,-1.3775083,-0.66890323,0.8891519,-0.97809553,0.10123205,-1.9358622,0.0919755,-1.8620088,-0.40651143,0.22397627,-0.35616568,2.0407825,3.1024241,-0.3071379,0.6451711,-0.06868599,-1.1201812,0.29758146,-1.0488113,0.9489221,-0.12119928,-0.017476391,0.42688644,0.46577463,-0.62480134,-0.9284831,2.0287573,-0.3293064,-0.087926924,-1.0281324,1.4002874,0.33168083,0.38725832,-0.7323631,0.14257742,-1.9812967,-0.09583688,1.2595799,0.88192177,-0.9576394,-0.6345306,-1.4491683,2.3375273,-0.82688296,-1.996869,1.2587993,-1.9399142,-0.31042024
KMS-27,-1.3280197,1.4798398,1.2575105,-1.0860995,-1.6353942,0.4163073,1.0633167,0.10522072,1.8312397,1.9196391,4.1717935,-0.45859495,-0.47512695,-1.4917016,-0.4030857,0.29629803,-0.9584794,-0.3152146,1.8004414,0.40522206,-1.40329,0.3553796,0.7397863,0.07630843,1.177861,1.6920998,-1.8673332,1.5061908,-0.36619577,0.28977463,0.68127215,-0.31161386,-0.5613406,-0.8372985,-0.8343573,1.9008335,-0.47248173,-1.4795586,-0.3218563,-2.0478466,2.480219,-1.1342051,-1.1598806,1.4390819,0.38406014,-0.27732965,-1.5126319,2.2570448,-1.4535038
NCI-H1184,-0.24912634,-0.5284008,0.5403477,1.8493168,-1.5088623,1.1163752,-1.9454917,-1.1837426,0.18776082,0.08555359,2.3278131,0.16309756,0.7426876,1.1021847,0.07811041,0.40940982,-0.7236486,-0.61311895,-0.51238686,0.40493566,2.361401,-0.26320884,0.7909632,-0.36563447,1.2609563,-0.13880526,-1.5451114,0.7493175,-1.171072,0.793942,-1.1873307,1.6956481,1.1961623,-1.0641184,-0.81047016,-0.4162474,-0.29792884,-1.0541387,-0.5366216,1.0136664,-0.610076,1.4657863,-1.9363115,-0.7659133,-0.10684517,-0.8917978,0.88904333,-0.9043987,0.15134566
COLO 783,-0.5965498,-1.7971737,0.35088468,-0.51463944,-0.25467795,-1.2201904,-0.02184169,-0.40515208,0.16947621,-0.78213984,-2.0193708,-0.86700624,-2.4100955,-0.5433271,0.58343697,-1.998619,0.3867002,0.41738367,0.13779497,-0.134593,0.53958434,0.15452121,0.12017425,-2.0801828,-1.9539869,0.52659106,-2.499127,-0.24195564,-1.4045268,-1.8277506,0.5992528,-0.16171867,0.88176364,0.969991,-0.21172816,-1.2734812,-0.7560814,-0.07147378,0.57778174,0.19258708,-0.84618515,0.03055336,-0.5843257,0.6502403,-1.2342286,0.30279785,1.9138765,0.347203,0.26247796
LN-235,0.70662504,-2.327486,-0.53039676,-0.13250647,-1.485398,-0.6251726,1.9433997,-1.1390691,-0.4898409,-1.8971311,-0.6203266,-0.24568172,-1.4016645,1.0285474,0.90594316,-0.11521419,-0.8902763,1.3874171,0.45651802,-1.6871432,-0.8892265,0.03265596,-0.73927945,-0.16264756,-1.844963,-1.2274225,-0.8555466,0.02938146,0.16825211,-0.95129794,0.29650757,0.6618922,-1.4219594,0.55282325,2.085324,-1.7669339,1.2167492,-0.15722653,-0.51772845,-2.475418,-0.6843391,1.0146817,0.045459487,0.67918426,-1.5562279,-2.7020617,-0.047676828,0.32311276,0.010372933
SJSA-1,0.8974006,-0.52986026,-0.33102062,-0.6721543,0.9902257,-0.32504535,0.119786486,1.0216877,-0.83284205,-1.4746847,0.635295,-0.049168427,0.46218166,0.6376873,-2.298961,-0.2645147,-1.1559613,0.7176419,0.1708954,-0.8721953,1.4943516,-0.40053606,-0.32240313,-0.07865453,1.9267974,1.9780834,1.3125385,0.52700335,-1.5952456,0.3755563,0.9383314,-1.3426126,-0.8892315,1.4554713,0.42729437,-0.22738291,0.42742282,-0.22970834,-1.1653167,-0.04207254,-1.7204078,0.67225873,-0.56267834,2.0040362,-1.4858851,-2.0529392,0.48366505,-0.47246134,1.699578
NCI-H1666,2.281045,0.34778094,2.6979892,1.7677981,-1.3914887,0.9144265,-0.48114663,-0.4598943,1.3991413,0.00072538294,-0.66777474,-1.2557149,1.1062685,-0.5103121,-0.8302441,-1.5514817,0.45828098,1.2606628,1.2959744,1.2258987,-1.4210209,2.9484975,-0.36558098,2.9058762,-3.1940267,-2.806088,1.0963634,-0.9295604,-0.113542184,1.2841777,1.1627687,-1.0847104,1.7800444,1.9978213,0.32750243,0.8733168,1.1346487,-0.21001206,0.18652159,-2.3265548,1.6055409,0.14229389,2.2091177,0.13821101,0.20587769,-0.31805778,0.63852143,-1.6040136,-1.2372321
SNU-1040,0.91057897,-0.21985637,-1.2234995,-0.6396827,-0.040476553,-2.2878187,1.0446472,1.5011442,-0.74494034,0.32150176,-0.36816055,-0.4287063,-1.1407405,2.0510497,3.4359992,0.902037,-1.120136,-0.39700928,-0.9512252,-2.360756,-0.39285564,-0.27725565,-0.59306896,1.1960213,-0.4372536,-0.8206132,1.7823659,2.528416,0.6921133,1.016083,0.34380245,0.74947137,-0.14372689,-1.2453785,0.5701679,0.6180435,-0.26082745,-0.58777577,0.7421973,0.34393924,-1.8095633,0.47015822,0.40816188,-1.2898711,0.526171,1.9857517,-1.3241603,1.2224187,-1.8831912
SU-DHL-1,-1.0163233,0.72520334,-1.2420087,1.5776306,1.3494632,0.31211054,0.44425204,-0.6661124,0.8367385,2.3138454,-0.36005497,-0.75911754,-1.5298097,-1.9648852,-1.8570412,-0.2396526,-1.6046352,-1.6091521,0.15490988,-0.8085097,0.46073297,-0.8097983,1.1295006,-0.15081018,-1.3058103,-0.0440673,-0.13479371,1.6000183,0.8985317,-0.45689508,-0.88866115,1.0461969,1.552329,-1.225524,0.40427408,-0.6277261,-2.220836,-1.4939123,1.4054096,2.3091743,2.0607505,0.8716661,-0.7682436,-2.050668,0.28871652,-0.050699893,-0.08159597,3.418921,0.861132
