,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25
Hs 839.T,0.2758913,-2.965576,-1.4256182,-0.9784125,2.2011309,-2.496873,4.2938085,1.4816365,4.398228,4.939781,2.8861253,-0.5737649,-2.2395542,0.05730502,-0.48828936,-1.427776,-5.285337,-1.3815176,1.6179037,4.605426,1.6138067,-4.9057145,5.0783434,0.7832704,-1.5209378,1.7898973
LS123,-0.39169836,0.77114755,-0.4626845,0.33980393,-0.078738354,0.16342455,-0.44638,0.7297945,0.28139928,0.40198854,0.32569626,-0.6588628,0.16639906,0.87819546,0.5945035,0.23497103,-0.13932642,-0.19276756,0.5514444,-0.6429542,-0.49570793,-0.31033632,0.42852962,0.43029478,-0.2903146,0.5883248
NCI-H146,0.39239314,-0.3111503,3.7766352,0.4365096,-3.984304,0.7980218,-2.0380163,-2.8682463,-2.9737775,-5.171898,-0.6385103,-0.7202657,-1.06269,-1.4126502,-1.7884957,0.5709414,2.61719,2.0035567,1.102577,-2.262453,-0.20489585,3.963161,-4.026614,-1.7770456,-2.1160152,-2.809697
F-36P,-0.26132596,0.8240775,-1.2143091,0.9866014,3.043459,1.4295939,-0.714451,1.8729146,-1.7855726,1.0711465,0.19083582,1.9632546,3.5453262,-1.4396806,3.085554,2.6237612,-0.526445,-0.1333845,-1.5525317,-1.8097852,-1.3924868,0.58882374,-1.3344924,3.0222807,-1.5528519,2.0308063
ZR-75-30,-0.6213184,0.2306612,-0.021659456,0.055300657,0.14156026,0.35941595,-1.844482,-0.1052201,-0.9414611,-0.77025265,-0.12843314,0.13614905,-0.08456285,0.23396273,0.33004594,0.1250186,0.59890044,0.36404085,0.44657686,-1.0232413,-0.14482506,1.3629752,-0.89541507,0.16811587,0.28244242,-0.47785512
HCT 116,-0.03131516,0.43797714,0.055422597,0.3941276,-0.32680044,0.27021912,-0.14415601,0.006627073,0.14789931,-0.018285101,-0.06242646,-0.22534427,-0.20573469,0.014649063,0.19410937,0.018309515,0.26818967,0.042005576,0.3273436,-0.8018292,-0.18719539,0.29380372,-0.35727257,0.14091645,-0.2859974,0.024161257
U266B1,0.075584486,0.16170064,-0.12897217,-0.8109251,0.24178022,1.5281211,-1.1160907,0.6458583,-1.3812398,-0.46380714,-0.05913422,1.06401,0.76865214,-0.8913528,1.5518304,1.0736086,0.41569293,0.7647169,-0.8046707,-1.1622077,-0.36293513,0.5072169,-1.5636375,2.2073045,-0.9939597,0.09735867
Ishikawa (Heraklio) 02 ER-,0.30490768,0.26992768,0.7914524,0.11765081,-0.7464849,1.2470345,-0.8107038,0.01008871,-0.12000437,-0.9311898,-0.17229897,-0.50156176,-0.47126597,0.06539227,-0.4006714,-0.13767307,0.5117771,0.1587975,0.56443435,-1.0608778,-0.025337048,0.24346487,-0.39860237,-0.5262235,0.0042554317,-0.12530123
MKN7,-0.05636483,0.33627695,-0.4984399,0.40678754,-0.04758241,0.18040314,-0.032034807,0.6667403,0.4906004,0.59759384,0.24504054,-0.33313838,0.002120593,0.61050665,0.3781083,0.028691057,-0.020589124,-0.2234742,0.6864537,-0.031492088,0.100728706,-0.58720237,0.5783193,0.4688647,-0.21328847,0.37597886
NCI-H1651,0.08310217,-0.24358018,-0.2820667,0.22618741,0.10956435,-0.07911155,0.4373487,0.25659835,0.6178854,0.540878,0.44313043,-0.14274696,-0.16047202,-0.010178316,-0.11702663,-0.19735041,-0.40396616,-0.49235815,0.46510917,0.5784667,0.12347376,-0.7164374,0.7160078,0.07790693,-0.05881907,0.23633933
FTC-133,0.4949463,-1.632887,-0.4799153,-0.33092836,0.53062093,-0.8292482,1.9736768,0.1914346,2.0242906,1.9113488,1.3847903,-0.4738019,-1.2035571,-0.3283463,-0.5958634,-0.9085085,-1.9748917,-0.56940144,0.80154955,2.352448,0.8677912,-1.970367,1.9767566,0.29409632,-0.8773106,0.46580586
COV434,0.16732429,-0.20438202,0.5665873,0.057671256,-0.8080994,0.052743874,-0.31153283,-0.48008034,-0.5418054,-0.5796069,-0.28923333,-0.15661326,-0.27857178,-0.48244345,-0.37086192,0.16123247,0.07539483,0.33345956,0.043148454,-0.21609364,0.2624662,0.7076893,-0.811669,-0.09840833,-0.7297904,-0.22087625
