,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
LC-1/sq-SF,-0.22540209,0.40414405,-0.10558465,-0.5642912,0.13599145,0.45304313,0.47759533,-0.9574022,0.5670037,-0.90708923,0.23827791,-0.28215596,0.5239845,0.3410386,0.42417344,0.4952731,-0.004160218,0.46400484,-0.0045382204,0.046151266,0.12767868,0.08201881,-0.19972008,-0.7102034,-0.23232393,0.013232373,-0.6884552,0.34158474,0.3519171,-0.17231908,-0.26249048,-0.02075154
OV7,-0.21630342,-0.012897238,0.12898746,0.04256352,0.72046494,-0.17324759,0.75194126,-1.4818568,0.5292623,0.748656,0.5627326,0.0039040446,-0.21251036,0.6388781,-1.1004853,0.6478856,-0.10708068,0.39496893,-1.3326626,0.22849227,-0.14074239,-0.27990773,0.7465273,0.30202022,-1.4339719,-0.09289021,-0.5727547,0.8515072,-0.26512071,0.3843393,-0.461709,-1.9931215
IST-Mes2,-0.2224707,0.08429232,0.14440091,0.3252176,0.23093829,-0.21847233,0.2795255,-0.5787947,0.24247105,0.41817456,0.31571066,-0.07678004,-0.32966864,0.23700961,-0.6100394,0.17322934,-0.10747337,0.33500543,-0.5699211,0.2015733,-0.21439753,-0.08164408,0.53931844,0.22914544,-0.71122533,-0.1471313,-0.16159332,0.26739585,-0.29516956,0.17533258,-0.24406381,-0.82431614
SNU-668,-0.20421627,0.14184728,0.056717962,-0.06695992,0.21107969,-0.18610692,0.30666202,-0.6774806,0.0070365407,0.14238499,0.2795076,-0.07877813,-0.06963818,0.15745966,-0.3433413,0.18721123,0.15002656,0.29553285,-0.26225725,0.07038326,-0.044520997,0.2016544,0.5198067,0.07446025,-0.50793344,-0.28978372,-0.21460143,0.077194855,0.07474367,0.29551998,-0.25971785,-0.57503754
KCI-MOH1,0.13368694,-0.43209806,0.38435984,-0.42183727,0.032703876,0.35851982,-0.08277596,-0.56315553,0.09763453,-0.95752484,0.7159488,-0.3780361,0.7560059,-0.3764101,0.6958604,0.29542363,-0.29894406,0.13066195,0.5223126,0.47207245,0.008262647,0.89172304,0.08790038,0.5290922,0.25796384,-0.34962568,0.17514145,0.23425223,0.21387585,0.1961081,0.29402843,-0.102526575
Hs 698.T,2.0451155,1.3477955,0.8971676,-1.0245737,4.2976975,0.5242142,4.8850036,-7.2457037,0.8270683,3.5346725,2.2633543,-0.28799975,1.6307198,3.5315526,-4.1400723,4.726694,0.975119,0.3470531,-4.4712996,0.3731984,-1.1154313,-2.8197725,2.5895617,0.51069903,-7.452754,-1.6655737,-2.962095,4.519547,-0.56132853,1.0062397,-3.7584727,-10.135827
BEN,-1.3752276,-1.2767965,0.93830645,-0.3736226,-1.3030704,1.6363591,-1.4868277,-0.13630532,-1.7478431,-2.4487724,0.2613538,-1.5637999,1.4171963,0.029861022,1.2932053,1.3066018,0.038360227,-0.25846028,0.43533605,-0.7126115,0.2074694,0.59551305,-0.9586103,-0.63850075,1.945222,-1.6204648,-0.4442271,0.45685786,-1.0642569,-0.23585129,0.062473748,2.4856086
T24,-0.2767747,0.02510656,0.02516051,-0.020875625,0.31853938,-0.20003617,0.28041038,-0.9758643,0.5551181,0.39176536,0.34475917,0.075938344,-0.2485197,0.32237366,-0.5386839,0.0816081,-0.10923158,0.43851748,-0.8024875,0.22241925,-0.08669777,-0.003189914,0.43165338,0.2325474,-0.6547203,-0.081745155,-0.3656861,0.38133872,0.006385643,0.34978497,-0.33829492,-1.0187404
U-138MG,0.0019078422,0.219668,0.48081732,0.009182222,1.9139142,-0.102774575,2.367386,-3.0429544,0.44614968,2.108973,1.1224887,-0.20476267,0.061822757,1.3227956,-2.2812462,1.7453796,0.13599366,0.3503751,-2.3273242,0.28885016,-0.47503513,-1.0530149,1.7433625,0.6191924,-3.7148964,-0.6563783,-1.2866744,1.8891219,-0.5713802,0.5336089,-1.1428869,-4.7460966
SK-MEL-28,-0.56358725,-0.07316523,-0.02434206,-0.017636709,0.37224215,-0.044190526,0.36297175,-0.22356799,-0.23215815,0.35136053,0.5931374,-0.25145754,0.06641671,-0.20979987,-0.7423983,-0.0912104,-0.2471684,-0.059856053,-0.56675756,-0.16594127,-0.41823456,0.4246259,0.55135894,0.38399252,-0.67202085,-0.6552562,-0.16004714,0.03746067,-0.6106403,0.22257233,-0.049879234,-0.5309449
