,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127
JHOS-2,-1.6855646,-0.1813375,0.33731437,0.29048777,0.4578944,-0.57714695,0.2980276,0.07652788,0.15367639,-0.55892754,-1.2110958,-0.3479162,-1.0769973,0.12800375,-0.6891095,0.4955242,0.52418995,0.35378638,-0.8890699,-0.8300247,0.59521234,1.4215649,1.3173819,-0.6146816,-1.5786607,0.7663151,-0.7138585,-1.1771739,-1.2880898,0.21224552,0.08529499,0.47516757,-2.0269825,0.6418941,-0.683123,-0.5862864,-1.2689772,-0.77858275,0.58071464,-0.4433062,-1.0316876,-1.0984952,1.8308197,-0.2700536,-0.97928905,0.4036138,0.26578414,0.512032,-0.012271851,1.3230965,-0.18220201,0.2989803,-0.065960556,1.5078803,0.38310763,0.21625084,-0.039588656,-0.97892034,0.8561732,0.4983223,-1.3460268,0.7653822,1.1418989,-1.2494926,1.7013158,1.9450669,-0.12132746,0.63853765,0.10344519,-1.7872632,0.12045963,0.6401946,0.09149864,-0.5327444,1.4933827,-0.23152983,-2.3187642,1.9779624,1.0162855,-0.36601558,0.64440733,1.2333572,0.9326209,-0.12903804,-0.98582625,0.4266274,0.2996031,0.33928704,-0.15521231,-0.77334476,1.2800441,0.13667136,-1.0408652,-0.52110285,0.6782941,-1.9376386,0.22566123,-0.3738037,-0.6038037,1.3396845,-0.05081456,-0.430552,-0.20728888,0.29970384,0.6487281,0.23648584,1.849957,0.512109,-0.2907519,0.9354028,0.9928835,-1.6837288,-0.7065712,-0.7165581,0.8704505,-0.7733164,-0.38933456,0.10928685,0.8100652,0.3141813,-0.27286953,0.7843325,0.16087502,-0.07167615,0.238881,-0.5839575,-0.9634112,-0.5203664
NCI-H2052,0.35679334,-0.23374249,0.59885556,0.7602901,1.5346961,0.43548256,0.4061861,-0.026039299,-0.36201626,0.8754448,0.0073850155,-0.28683552,0.9576274,0.30693817,-0.15432754,0.35030815,0.2930706,0.07548032,0.0943903,-1.1526313,-0.40069482,0.3139401,-1.3552939,-1.3830674,-0.4524289,0.35440028,-0.8123752,0.22584963,-0.3069004,0.20889573,0.6605607,0.36370575,-1.0853022,0.5292419,-0.25574675,0.4325173,0.061356366,-0.25087327,-0.07831015,-0.05169665,-0.26216316,-0.43004444,0.41676638,0.019632883,-0.7881719,-0.0875781,0.8397369,-0.54995906,0.3576385,1.1826379,-0.68529856,-0.3254738,-0.720849,0.3631682,-0.5152596,-0.097386494,-1.0938132,-0.7637466,0.27851754,0.3882817,-0.46850052,0.25537047,0.6506992,-0.62676966,0.3092459,0.39976868,-0.053980034,0.4659841,-0.14899912,-0.15651992,-2.0274549,0.12253509,0.23543273,0.7124019,0.79267144,-0.9226164,-0.42912424,0.5084326,0.60089785,0.03810069,-0.007958449,-1.2553818,0.34446478,0.3870995,-0.30916867,-0.24154937,-0.7939371,-0.5250672,-0.27465656,-0.73130834,1.2975876,-1.0632287,0.119865105,-0.28752592,0.3041294,-0.9560933,-0.96262336,-0.0012035705,0.30555728,-0.5942794,1.0699753,-0.48126197,-0.3199471,-0.8847136,1.0010493,-0.27038285,0.23682457,-0.2959758,-0.122650184,0.7088692,0.8920672,0.54046106,-0.7143236,0.018708631,-0.10771339,0.20018032,0.3739856,0.5492241,0.0790213,-0.15340282,0.10732126,0.6344887,-0.7965425,-0.25713915,0.8920957,0.024230897,-0.4596959,-0.63787836
HuCC-T1,-1.9844984,0.4089381,1.6939682,-1.0456512,1.0084373,-0.7829648,0.02362024,-0.7698456,0.93570524,-1.078914,-1.043825,-0.17245668,0.005970018,0.08635917,0.54082054,0.16422105,0.47567248,2.2690372,0.7978506,-1.6196852,0.36647084,0.44197372,0.13161157,-0.18796742,-1.3623359,-1.3505272,0.3082178,-0.59995806,-0.7722305,-0.050414175,-0.9174071,0.878733,0.060362935,1.0256726,-0.006659627,-0.7780962,-0.57632005,-0.4621604,-0.5718692,0.5537512,-1.1990147,-0.7442663,1.2957468,-0.5220948,-2.240335,1.7729714,0.63255024,0.84080505,-0.55627894,1.2196436,-0.7762451,-0.2961881,0.039057456,0.29635522,1.2382225,0.24942876,1.0006977,-1.1316831,0.56515294,1.1995742,0.12578157,0.4959178,1.2897351,-0.96295893,1.1054896,0.64103335,-0.42614782,0.34917644,1.2052127,-1.9625113,-0.4068721,0.78365123,0.5139674,1.0935853,0.7453708,-0.17743808,-1.6199764,0.84327775,1.6744932,-1.2093704,1.6733013,-0.23215154,-0.2844525,-0.53358376,-0.19522573,0.6196748,0.21096176,-1.6949457,0.10057759,-0.70369774,-0.48167396,0.3607142,0.5849773,0.025069354,1.8373659,0.7098615,-0.14961568,-1.3877642,1.18264,1.5135529,1.0443165,1.5090533,-1.2975168,0.16322096,-0.01811403,-0.23857728,0.34608516,-1.1883488,0.17333642,0.29310024,1.5327146,-0.40540427,-0.59178656,-0.8324488,0.88298875,-0.8830186,1.2461838,1.4919901,1.0013207,-0.31218764,-0.45717058,-0.37147036,-0.05455829,-0.8495672,2.1558104,1.0206668,-0.50234765,-1.1985409
JVM-3,2.9430912,0.13628016,-0.49399078,2.1923063,0.822109,0.11672065,1.3207463,0.9128034,-1.8356807,2.3094475,-2.4709375,0.6200502,4.038631,-0.47197843,-0.45935142,0.5809148,0.57749176,-1.4876386,-1.5542164,-1.3327818,-1.3327628,0.7913664,-2.2610626,-1.2683265,1.4869227,0.3830368,-2.2719517,1.3776737,1.0442746,0.43459016,0.23253906,0.08628401,1.0221583,1.764071,1.3724641,1.3320136,1.0897025,1.9168377,-0.6573748,-0.7599229,0.28702706,-1.1680981,0.09532617,0.32429832,-0.09664277,-0.08027631,-0.22154261,1.3635765,0.012745485,1.0163085,-0.27915823,-0.65768266,0.10952309,-2.7153802,-2.3544421,0.9375179,-1.8560003,-1.0045998,-1.0414779,-0.043463245,-0.7283762,-0.65498674,-0.5678439,2.302119,-0.852578,0.30836338,-0.40459168,0.5640262,0.3781991,1.3155155,-2.6456726,0.0776501,-1.4978864,0.92265695,-1.2270463,-0.9607222,2.4136722,-0.9737193,0.7300771,2.046928,-0.58635,-5.005567,-0.6384603,1.7898858,0.6480595,-2.0052521,0.85792476,0.9012701,-1.6485955,-1.1798196,0.0125076845,-2.0131047,1.6343373,-0.7637284,0.8017361,0.56066215,-2.6297636,2.0232406,1.7561264,-3.9061036,3.3164065,0.06395641,0.26364636,-1.5703378,2.61775,-1.119603,-1.8107514,-0.62745374,0.11756159,-0.9244181,-2.2080202,1.9309498,-1.0556198,1.2490153,-2.332636,2.2052388,-0.49628723,-0.4157121,-2.0550306,-0.40281588,-0.48753273,1.6796623,-3.234793,-0.1629813,0.5019398,-1.1621735,0.32728964,-1.4361266
PK-1,-0.9990096,0.5780298,0.85608804,-0.6424333,-0.14679977,-0.049958453,0.8480692,-0.64117986,0.4804998,-0.67602444,-0.18763772,-0.018857416,0.0792027,0.21343338,0.9072353,-0.030149795,-0.27052534,1.3029814,0.31040552,-1.3841496,0.45642495,0.2609939,-0.07331151,0.5763592,-0.25472012,-0.9506895,0.83645785,-0.3362551,-0.17469206,-0.11538164,-0.07605338,0.93243057,0.12958011,0.22067404,0.44714966,-0.45949754,0.44280207,-0.47538427,-0.5913501,1.0371844,-0.7267889,0.18837789,-0.35063076,-0.060902942,-0.9801349,1.4989562,-0.107361324,0.053127486,-0.30020234,0.2431986,-0.72910357,-0.6537637,-0.058687374,0.102140635,1.5058985,-0.008539956,0.30171368,0.03027262,0.5120689,0.5931435,0.5372807,-0.13637072,0.6764771,-0.2295945,-0.4230294,0.11579485,-0.4074237,0.06691539,0.9784635,-0.98011506,-0.14588973,0.8206593,1.9498742,0.97745365,-0.67409503,-0.3316288,-0.5428302,-0.8688817,1.2866222,0.0505052,0.19598639,-0.8497175,-0.27046585,-1.0195365,0.34156823,0.9930103,0.023268618,-0.8283016,0.3691692,-0.37167865,-1.1460844,0.097812295,0.38196152,-0.13053247,1.489825,1.7914003,0.17213498,-0.74923366,0.9428986,0.7490308,-0.044788294,1.7712696,-0.15886636,0.46957347,1.1664671,0.4108396,0.23151055,-0.48073137,0.0759722,-0.2926316,1.2904551,0.45601752,-0.5829983,-0.22537923,0.20396219,-0.29914677,1.442864,1.001945,0.019016352,-0.30832914,0.3347625,-1.2110732,0.13398339,-1.0206522,1.4474627,0.9439387,0.1045503,-0.5075915
KNS-42,-0.8216401,1.4184159,0.97800714,0.080168106,-0.17959061,0.29268643,2.0339215,0.6570191,-0.926579,-0.18750173,-3.068355,-0.07057115,1.1294786,-0.56484115,1.4207819,0.1472385,-0.24683864,1.6227133,-0.3207852,-1.151311,0.9462352,1.1292979,0.21078019,-1.229218,-0.43903756,-1.2406064,-0.1839001,-1.0383382,0.83706534,0.17368674,-0.727038,0.88774514,1.4949896,2.8816447,1.2425851,-0.7837714,0.61297494,0.40841132,-0.8083037,-0.37066233,-1.033232,-0.7451921,1.1119645,-0.8021668,-1.9721692,2.0200496,-0.9137446,1.7961655,-1.0801437,0.9548691,0.06475372,-0.9382146,0.713998,-0.2635864,-0.056859948,1.6355166,-0.20222202,-0.017735645,0.433812,0.7459238,1.1715151,-0.32153282,0.585297,0.2789366,0.72838825,1.402428,-1.1747398,1.3942056,1.8879375,-2.4500055,0.017581046,2.6489697,1.8957174,-0.11561638,-3.1288328,-1.2126343,-1.1872041,-1.0822926,1.9088037,-0.33563146,1.3154556,-2.209443,-1.3497056,-0.7295153,1.040575,2.4890497,0.9580759,0.88235,-0.54131484,-1.8621539,-1.8398256,0.1330744,1.7830791,-0.64952904,2.263297,2.2240696,-0.78265584,-1.1771604,1.7079256,0.5934252,0.90707535,2.507302,0.4177094,0.5435489,0.3167286,0.4084127,-0.73360306,-1.2025645,0.33002627,-0.23252183,-1.5642668,0.6593623,-0.5180027,-0.4931691,-1.2873296,0.41421264,2.2305424,0.4935081,-1.3846846,-0.40380815,-0.01560232,-0.10652202,-0.872373,-1.259362,0.9315003,2.4384103,-0.09466249,-0.84504485
SF126,0.8296193,0.10083327,1.1623256,0.42347524,0.35380536,-1.0477887,-2.1506233,0.15256149,-0.3331704,1.0399305,-1.5030395,-0.4345555,-0.8841439,0.9123983,0.37369227,0.20190307,2.6437004,1.2694337,-0.70183355,-1.8748741,-0.49469417,0.53687024,-0.761355,-0.6281914,-1.2179946,0.4505329,0.12214322,0.28417426,-1.5124623,0.4063795,0.04566279,0.15168007,-0.073198125,0.7608516,-0.43734774,-0.19817698,-1.1339923,0.18741204,0.023088675,-0.64239633,0.08885774,-1.3172244,1.6966457,-1.4592432,-3.0318286,-0.42260975,1.5867338,-0.30076712,0.76685464,1.2379256,-1.1340795,-1.8876815,0.16657962,-0.950232,0.16291851,0.64472973,-0.5501106,-0.44743884,1.030744,0.7584764,0.3390282,0.6815892,2.5110853,-0.47752202,1.1044998,0.27734125,0.30595616,1.3114122,0.5566026,-1.0651386,-1.9270605,-0.49773172,-0.35456243,0.66079724,0.502147,-1.3358235,-0.865207,0.970749,-0.22934061,-1.789855,-0.08487615,-0.7107871,-0.41290528,1.1671374,-1.0513483,0.03640811,0.28126314,0.09718129,-0.65701795,-1.1147106,0.41031924,1.8404363,-0.0694616,0.41962713,0.38731274,1.2984412,-0.73821485,-0.19545625,-0.40025637,-0.3660534,-0.09853315,-0.14471883,-1.3396615,-0.8937025,-0.43114316,-0.4159414,-1.0883769,-0.6538132,1.2648718,1.144428,-0.9369277,1.499161,-0.13785681,-1.6113542,1.0926683,-0.03402378,0.49103382,1.6495969,1.7037482,0.014232814,1.0445907,0.8720343,-1.8468413,-0.5572572,0.5679742,0.9050791,1.4847014,-0.9163071
PANC-1,-1.3707031,0.7156714,1.1044703,-0.66476816,-0.46054214,-0.14110902,0.8134749,-0.73629916,0.61153656,0.069052935,-0.7959537,-0.04769885,-0.027633343,-0.15338634,0.8717754,0.24298656,-0.67860806,1.3416001,0.37117708,-1.3833215,0.43990624,0.124951646,0.38199794,-0.24191238,-0.23627359,-0.15222692,1.0359488,-0.28605428,-0.24457799,-0.09194949,-0.0054390393,0.9551756,0.11784334,0.711444,0.71630836,-0.795401,0.24133082,-0.4668648,-0.6176246,1.0027622,-0.7549225,0.047441445,0.31871074,-0.02969683,-0.99843836,1.4904711,-0.056729797,0.12836921,-0.29969546,0.018123746,-0.72635293,-0.6124737,0.093282096,0.36079472,0.31145155,0.048432216,0.40425485,0.03915948,0.26021674,0.83372474,0.6685831,-0.07903476,0.5243837,-0.65766126,0.49604982,0.016813263,-0.40954977,0.10459784,0.7979822,-1.0249386,-0.12767953,0.90666413,1.1077858,1.0840267,-1.3395702,-0.24175963,-0.54039806,-1.0334467,1.2764912,0.030894667,0.9201084,-0.7202774,-1.4032345,-1.5730798,0.33719593,0.7397811,0.2743553,-0.82942295,0.28172493,-0.17063756,-0.34419146,0.096894555,0.5380232,-0.13727728,1.4270768,1.5755649,0.2001198,-0.8159419,0.85144293,0.5637232,-0.11089762,1.782258,-0.46427152,0.14281629,0.6762468,0.7813823,0.17502613,-0.52866775,0.058621526,-0.29817292,-0.15717411,-0.1873653,-0.48766458,-0.3615085,0.25632372,-0.2935775,1.671191,0.99944353,0.038035594,-0.2957136,0.28873914,-1.2794938,-0.18499184,-1.0129292,1.412797,0.05884278,-0.030116998,-0.39552274
WM793,2.969045,-0.003465712,0.6888868,1.6519079,-0.29640353,-2.5770118,-1.6650834,0.26857436,-1.2502995,1.2033675,-1.7338527,-0.34833267,1.3438987,0.40451464,-0.33621314,0.51695645,2.9932516,-1.0137829,-1.7619532,-2.1061783,-1.8336029,-0.41313112,-2.7804453,-1.0285616,0.6405568,0.19546497,-0.14945574,1.4838605,-1.0904074,0.44626117,0.65790236,-0.32762328,1.302243,-0.46803784,-0.49583194,0.91276205,-0.654826,1.7063891,-0.19384179,-0.8859559,2.109191,-2.294315,1.2983305,-0.9641201,-1.8104051,-1.2335403,1.0754921,1.8102496,0.41030627,-1.4657736,-1.0392392,-2.387707,1.3472846,-2.830895,-2.7425642,1.7867025,-1.6628458,-0.059276365,0.039094724,1.078371,-0.56740123,0.81466734,2.2006764,1.1445357,-0.420088,-1.6483173,0.37200704,0.7395766,0.20901634,1.2357312,-2.5192606,-1.3515791,-2.1767907,1.9426048,-0.20528176,-0.5062178,1.6741083,-0.2892219,-0.35024428,-0.0049571097,-0.8269389,-1.524815,-0.5500844,-0.2957325,-0.72871876,-2.3228714,0.2756549,1.2780476,-1.5027673,0.18929324,-0.3226227,0.7311343,0.8836286,0.2806494,-0.6337827,1.4533701,-1.5261973,1.5239358,0.7197935,-3.3405073,-0.39367023,-0.094513655,-0.9553386,-1.391881,1.5569292,-1.689567,-3.0686462,-0.45932928,1.9595773,0.5607508,-0.47279742,3.2063143,-0.5336419,-1.220309,-0.90957886,0.74064505,-1.1551794,1.5284501,0.18989378,-0.091465205,0.9607327,0.6565669,-3.989774,-0.018862218,0.2968568,0.7273943,2.23154,-1.0652018
Kasumi-2,-1.4957945,0.7926625,1.2755996,-0.70937777,-0.030639693,-0.4303118,0.857002,-0.6186659,0.4536035,-0.6608007,-1.0765285,-0.016622452,0.046314508,-0.34389046,0.9469904,0.06636691,-0.3807727,1.5379742,0.57792526,-1.3741755,0.4433124,0.17525099,-0.42233253,-0.33799344,-0.24726601,-0.8626132,1.2099893,-0.35343665,0.42288318,-0.10190486,-0.023603901,0.9270513,0.4013729,-0.15781683,0.19391377,-0.18845838,0.684988,-0.46736777,-0.6406502,1.0673885,-0.7289732,0.08667662,-0.45406836,-0.051221315,-0.98540235,1.3234702,-0.009797596,-0.18410444,-0.29877186,0.21416032,-0.59076416,-0.7541418,-0.06401903,-0.16343203,0.310198,0.10207843,0.31358576,0.047394767,0.065769434,0.9571513,0.52836704,-0.1612188,0.5307084,-0.8176303,0.44457635,0.058065325,-0.5159189,0.061883204,0.9438408,-0.99213046,-0.19702843,0.78886366,0.9528843,0.8955834,-1.7697347,-0.30111182,-0.9791355,-0.58713853,1.2901247,-0.033769652,0.3851643,-0.6965494,-0.948725,-0.588171,0.34839392,0.5416124,0.18065655,-0.8293498,0.12462187,-0.3567517,-0.5870339,0.09806229,-0.48925412,-0.13416891,1.4656116,2.089687,0.28381598,-0.9929008,1.0030202,0.6994449,-0.49320483,1.7819815,-0.25750428,0.22570261,0.11587995,-0.0040738583,0.112502284,-0.20551927,0.089858726,-0.29470015,-0.8383888,0.21273494,-0.653589,-0.26055112,0.19095622,-0.2999338,1.5922595,1.0279932,0.037579,-0.34454492,0.22662996,-0.9206588,-0.05440453,-1.0197939,1.2107997,0.68826354,-0.2098919,-0.5241031
COLO 800,2.9097588,0.14721222,-0.32419062,2.1583817,1.2858168,0.28327918,1.0089645,1.1303768,-1.4087374,2.7157092,-2.5536172,0.14325798,4.06753,0.16186488,-0.5905994,0.4501649,0.58436,-1.5375624,-1.7885067,-1.3199328,-0.64535844,0.8080872,-1.6545081,-1.3045049,1.8475008,0.9842899,-2.9550555,1.3665437,1.9110376,0.75072,0.33700436,-0.28787488,1.9615252,1.6325955,1.2664,1.3688674,1.144961,2.7900727,-0.65840155,-1.4070699,0.6192281,-1.1897229,0.17166856,0.3155476,0.21513802,-0.52891994,-0.6144597,0.83529395,-0.044364706,0.15719786,-0.104459815,-0.7594623,0.13195717,-2.957662,-2.3561165,0.63817215,-1.8534285,-1.0976845,-1.0685929,-0.16775504,-1.0824013,-0.6518548,-0.74417967,2.2489262,-1.0507828,0.20173118,-0.5550872,0.60388577,0.26438448,1.7574304,-2.5422845,1.1209509,-1.6327952,1.2992089,-1.1475697,-1.0395563,2.3717592,-0.9542998,-0.32506377,1.5320942,-0.31264052,-4.7148156,-0.59276605,1.4840122,1.12247,1.1269524,-0.039857954,1.9127313,-1.67341,-0.8787323,-0.03604832,-1.6948278,1.6398584,-1.4288127,1.0619917,-0.020497799,-2.599448,2.1164463,2.1626313,-4.5651407,2.5038352,-0.33931184,-0.32856214,-2.0337353,2.096093,-1.3986747,-2.2554824,-0.6913114,0.18319514,-1.1144869,-1.9746906,1.9569739,-0.9737611,1.1041594,-2.6193547,2.1201384,0.03970325,-0.120280325,-2.1755745,-0.532333,-0.32752946,1.6461738,-3.14501,-0.043248042,0.55847555,0.008690447,0.1882995,-1.4079869
EHEB,0.5691404,-0.2857663,0.1989696,0.066360414,0.77567005,-0.101884186,0.6425937,-0.20003006,-0.5265607,0.44457826,-1.2681074,-0.03665167,1.0761913,0.38670638,-0.15440787,0.29086873,0.49022278,0.07671578,-0.18096848,-1.0732936,-0.093067706,1.3433244,-0.29102808,0.38103056,-0.5458168,-0.23465693,-0.801049,0.14703417,-0.4702108,0.21515556,0.587774,0.24810798,-0.91065586,0.5029913,0.027110342,0.27653378,-0.06744874,-0.06835054,-0.12137316,0.39588296,-1.0355862,-0.3723458,0.22745317,0.2863754,-0.9229918,-0.009483335,0.4276461,-0.42391965,0.36303285,1.03749,-0.6934943,-0.38125032,-0.6597406,0.26366264,0.40098137,-0.33796707,-1.3272258,-0.7814456,0.2001768,0.3915357,0.20078932,0.31132028,0.64627033,-0.44583052,1.2953207,0.33129957,-0.0010294951,0.43984872,-0.34498596,-0.36441737,-1.901663,-0.05859626,0.4812033,0.37704325,-0.541941,-0.92335814,0.087047964,0.4489224,0.11401719,-0.21621001,-0.11194034,-1.2469871,-0.5716845,0.22236736,-0.3723342,0.6372751,-0.38727206,-0.110073775,0.05882287,-1.0122851,0.69970524,-0.9601689,0.19676225,-0.13370278,0.7541082,-0.34730655,-0.8356223,0.008941131,0.5522034,-0.58858407,1.5221103,-0.26473877,-0.55348766,-0.8564972,1.1227473,-0.573418,0.09567118,-0.11879249,-0.12097848,0.48799878,0.37649757,-0.05298037,-0.7172298,-0.001028832,0.50029945,0.3842576,0.17272209,0.5773141,0.060454268,-0.070207596,0.062457882,0.67218024,-0.8170788,-0.3372454,1.0645757,-0.83330405,-0.2724429,-0.60441834
KNS-81-FD,-0.53979546,0.09740874,0.87236947,0.6908956,2.4672303,0.43504438,-0.102875054,-0.15077588,0.39553553,0.73625463,-0.71593064,0.03773029,-0.9660823,-0.24672756,0.36399034,0.28142002,0.423051,1.0397726,-0.38251632,-1.2236898,0.5390395,0.7741525,0.66973346,-0.55847555,-0.103120536,-0.74938023,0.02736196,0.20278569,0.5614218,-0.006420316,-0.0930507,0.51707524,-0.7304777,0.12607968,-0.74564576,0.12364644,0.05929756,-0.21668307,-0.5019862,0.565044,-0.9397586,0.13571388,1.0820771,-0.45391458,-0.6921583,0.5648772,0.081525646,-0.62470007,-0.2587613,0.5946645,-1.1871012,-0.30626947,0.15167807,0.7084814,1.3288567,-0.62030953,-0.46047372,-0.66033936,0.80046743,0.33447355,-0.031231016,-0.3149992,0.54841214,-0.41451535,-0.99202657,0.5364118,-0.13117613,0.4058247,0.8809253,-1.2682127,-1.1875392,0.08408779,0.27976573,0.47337073,1.7999986,-0.5960237,-0.8143521,0.18476807,0.80252194,-0.4431452,0.17687891,-0.46195334,0.0010567605,0.114635736,-0.5218662,-0.3266396,0.05593194,-0.22782981,-0.18050057,-0.32133693,0.19217284,0.62857455,-0.5518431,-0.2270236,1.1310158,-0.11936292,0.038062163,-0.121255,-0.4205987,0.7415786,-0.5738744,0.6750326,-0.63442564,-0.010956094,0.5991961,0.071672566,0.5525846,0.2062024,-0.45142326,0.07560113,1.6688757,-0.41747758,-1.1339184,-0.08962366,-0.06271231,0.35970524,0.6101131,0.30870742,0.8099226,-0.14086632,-0.31906947,-0.19913977,-0.032783806,-0.7050522,0.5656392,-0.43679222,-0.99931586,-1.1060858
MDA-MB-453,0.23125309,0.28856352,0.9419419,0.44663614,0.25818887,-1.5149827,-1.9989762,0.09708708,-0.3695976,0.6877774,-0.78570557,-0.41757703,-0.7392002,0.95078284,0.36097264,0.028507464,2.5436616,1.3889529,-1.1834042,-1.9095339,-0.5444916,0.3798851,-0.71524906,-0.7191618,-1.6908834,-0.05835771,0.14325857,0.00030753016,-1.811545,0.40291536,0.099304065,0.11407994,-0.26361147,0.51806575,-0.30207023,0.47532475,-1.0323293,0.07401349,-0.020577244,-1.2910844,0.36850637,-1.1587136,1.3593017,-1.2582785,-2.785642,-0.7120142,1.151115,-0.3723794,0.36970904,1.2973458,-1.2648675,-1.0704927,0.10161331,-0.6877816,-0.11190435,0.62502396,-0.5334929,-0.45101792,1.0040405,0.837528,0.33441728,0.7181795,2.3349679,-0.5696214,1.266985,0.30768618,0.28568983,1.4688956,0.6017528,-0.9307565,-1.9032289,-0.49111927,-0.71323496,1.0635955,0.62205726,-1.3749605,-0.6504157,0.91894305,-0.21273991,-1.7956359,-0.047140427,-0.9678027,-0.19138473,0.32664183,-1.0983454,-0.0023026597,0.11931479,-0.099455856,-0.7474456,-0.29474396,0.5698936,1.7647177,-0.020849526,0.90610135,0.090260185,1.385303,-0.8071914,-0.16524231,-0.310276,-0.23611766,-0.6956689,-0.15207732,-1.3507452,-0.9026945,0.16026103,-0.09984897,-1.0929447,-0.6554958,1.1961273,1.1572969,-0.59664357,1.4462276,-0.12375608,-1.6112199,1.4064629,-0.17464104,0.6555917,1.6440928,1.536869,0.031531475,1.0418841,0.37883866,-1.6760418,-0.32214886,0.5267061,0.8160285,1.2711171,-0.8821925
NCI-H2171,-1.2086356,0.41148385,0.8068691,0.44398865,1.0101103,0.3403619,-0.58779347,0.017708912,0.5436466,0.36077935,-0.41518605,-0.0039403588,-0.9608907,0.092457764,0.3951512,0.25869116,-0.3232693,0.6741621,-0.07667792,-1.1946183,0.50515103,0.803466,-0.44378513,0.5564497,0.0056670904,0.23958288,0.47909877,0.114222534,0.5521572,-0.057987005,-0.30722633,0.49930334,-0.77575064,0.24977985,-0.10328552,0.07709037,0.07307294,-0.280073,-0.57204515,0.65145093,-0.9214942,0.12525505,1.4736847,-0.39086822,-0.6612056,1.2903119,0.077188805,-0.9796977,-0.20667681,0.5773348,-1.1151412,-0.22864579,4.9247406e-05,1.2534692,1.1386782,-0.61960846,-0.5592811,-0.6621655,0.50462884,0.32389924,-0.108465046,-0.40954983,0.5422217,-0.3461131,-1.3661796,0.19643466,-0.19641292,0.5941174,0.6916557,-1.252506,-1.0213436,0.44259128,1.1976889,0.48224077,-0.073951125,-0.81440896,-0.6788714,0.023494825,0.7902618,-0.44329798,-0.36654115,-0.3817255,-0.5889838,-0.5090832,-0.5244636,-0.10777438,0.08568328,-0.23962039,-0.46424854,0.0002336204,0.12324467,0.7015906,-0.6154977,-0.13996461,0.77730346,-1.2902067,0.014090154,0.07599617,-0.33282676,0.75979227,-2.1938667,0.6744339,-0.7170356,-0.009176977,0.751956,0.18534237,0.701385,1.0342484,-0.44726953,0.09735617,-0.34695965,-0.40233606,-0.9797561,-0.00633559,0.93863094,0.22117788,0.34075925,0.31745127,0.86015475,-0.16791424,0.11832526,0.04153934,0.39019716,-0.6515519,0.54578257,-0.14999816,-1.2986403,-0.8316195
SNU-626,0.027472679,0.45005307,1.8409436,0.27401543,1.6657486,-1.3201538,-3.2427583,0.08299897,0.2708707,1.1878362,-0.29138526,-0.026521884,-2.3824356,0.7591711,1.063053,-0.31133884,2.407197,2.0837772,-0.9495531,-1.6705413,-0.32727185,0.6254152,-0.6269415,-1.1345248,-0.77481437,-0.21209443,1.130325,0.90116954,-1.4478552,0.31378165,-0.84904915,-0.08553277,0.26162636,0.091054246,-0.6563271,-0.7961195,-1.137542,0.23158585,-0.3416008,-0.13566607,0.101553924,-0.66663,2.3979967,-2.1921747,-3.0830803,-0.33470392,1.191721,-1.1200074,0.102411285,1.4853013,-1.8259404,-1.3725488,0.2700617,-0.7434052,1.4311534,-0.06948896,-0.31020555,-0.6675881,1.297463,0.9148365,1.0713894,0.26854274,2.5144677,-0.56104857,1.2342991,-0.14273411,0.34164783,1.5992683,1.2559683,-1.6062346,-2.067966,-0.21722983,-0.028859138,0.60048723,0.3019776,-1.5927281,-1.8103147,0.76780546,-0.12364341,-2.6131415,-0.25670448,-0.89279556,-1.0176743,-0.54619217,-1.2219512,0.04542644,0.36921516,-0.7054778,-0.98167044,-0.8480167,0.41322565,3.3359752,-0.34366134,0.79543674,0.5828512,1.4479674,-1.0077668,-0.17046532,-1.1923537,0.502969,-1.227172,0.5025694,-2.1521451,-0.7622834,-0.39980474,0.3955634,-0.92271364,-0.39757463,0.9366403,0.4463974,0.55721647,1.9450628,-0.106012434,-1.5745397,1.6220115,0.10763144,1.0210022,1.6218932,2.4532223,-0.1625427,0.94261837,0.58933187,-1.644098,-0.8758621,1.4562088,0.36066788,0.6713114,-0.8285262
