,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
SNG-M,-0.553288,-12.68572,-9.590102,-9.829537,-3.9534097,-24.198278,28.222271,-15.398904,-23.110977,26.406214,-11.211359,5.624346,27.735025,-32.17401,16.900976,-5.5394983
GR-M,-1.1427797,-15.2824335,-12.344684,-13.540096,-5.4286523,-29.502556,33.91302,-18.87228,-28.005322,32.05627,-12.728409,6.267761,33.7352,-38.795517,20.085855,-6.8822145
Capan-2,26.312769,3.1229832,-4.990659,10.511251,4.439346,7.8076997,-39.779358,23.110415,32.035027,-40.454025,26.928526,-6.92537,-29.157446,36.909245,-24.57027,6.654455
RL95-2,0.3898816,-11.302358,-8.9976,-8.653218,-2.7126296,-20.512238,23.800468,-13.491782,-19.837994,21.85719,-9.4175415,5.347846,23.04562,-27.408638,14.820594,-4.574127
OUMS-23,10.224218,1.366747,-1.2666686,4.5545263,2.571695,3.9540288,-15.404903,8.1603155,11.708275,-15.585034,9.76417,-1.6433246,-11.529519,13.435216,-8.84536,1.8375378
KNS-62,10.753627,2.6302555,1.2982632,6.0111976,8.484279,5.429566,-13.209912,-1.5965518,2.0420454,-11.1503315,7.6540823,7.4685054,-10.527748,2.5762544,-3.1181593,-6.529632
MG-63,-0.96437573,-10.621877,-8.437998,-9.674201,-4.7477283,-20.904982,22.985754,-12.179937,-18.306911,22.077404,-8.457768,3.5372071,23.502567,-25.909237,13.609379,-4.301598
TUHR10TKB,-1.1877717,-14.189856,-11.100934,-12.17114,-5.274249,-27.552711,31.68455,-17.179718,-25.797838,29.885279,-12.106438,5.600826,31.586557,-35.773483,18.737104,-6.142565
Hs 606.T,-1.1952118,-13.82596,-10.831003,-11.904463,-5.179528,-26.891367,30.896006,-16.730385,-25.130295,29.149036,-11.803747,5.4336843,30.82968,-34.843838,18.246376,-5.9621725
IGR-37,-0.38764387,-9.666196,-7.708302,-9.718846,-2.9889174,-18.983328,20.521948,-11.914384,-17.649235,19.163343,-7.3447423,3.8779414,20.78843,-23.635895,13.216669,-4.8512177
Loucy,33.47651,2.812272,-8.123795,10.381412,5.176693,8.881631,-48.001244,27.272396,37.44062,-50.674625,33.742813,-8.582718,-36.01198,45.365078,-31.89936,8.58609
NCI-H1836,21.089737,2.5089786,-3.5907273,9.273364,4.092492,7.778722,-32.32673,18.567053,26.00642,-32.205982,20.849573,-5.3888707,-23.995619,29.472519,-19.552105,5.610759
HSC-2,13.9231415,2.2524683,-1.4423004,6.037086,5.2203097,6.76561,-18.42417,6.461509,10.982548,-18.266026,11.90017,1.0062748,-14.974446,13.926342,-10.298626,-0.5891849
NCI-H1435,-0.9558009,-13.3980665,-9.617604,-10.378731,-4.0899796,-26.082506,30.437078,-17.214605,-25.321335,29.302734,-11.953123,6.297759,30.017767,-36.014866,19.041447,-6.6755657
G-401,-1.084572,-12.976277,-10.080781,-11.034089,-5.0197353,-25.306326,28.988754,-15.427587,-23.347475,27.29823,-11.160552,4.938183,28.957489,-32.39057,17.074339,-5.3444295
SCaBER,60.32332,12.015222,-5.867235,29.669342,22.557095,27.344902,-92.96454,40.570183,62.79294,-89.49545,57.428177,-0.874396,-68.612076,73.08246,-47.59718,2.8257113
Hs 766T,16.244558,2.3475316,-0.80515003,4.309898,14.844427,9.1658945,-19.003164,-6.65244,-1.4772146,-18.13668,12.362297,12.25365,-16.297304,3.1556206,-3.8847966,-12.944416
OC 316,14.545288,0.8392073,-3.8038666,4.3543377,2.1815226,3.8500655,-20.71649,11.787974,16.2972,-22.20329,14.54794,-3.9519506,-15.703524,19.81823,-13.792457,3.6497583
UM-UC-3,40.66261,4.8858376,-8.127724,16.15744,9.095855,14.515429,-58.60307,31.81987,44.277374,-59.862522,38.257492,-7.1016736,-45.0342,52.295876,-36.27436,8.293524
SUIT-2,39.508263,2.0798976,-10.92973,12.65264,7.7893457,13.403621,-53.816628,30.020945,41.061,-57.757008,36.565247,-9.044804,-42.824554,50.265438,-35.94527,9.729648
HuT 102,-1.1591568,-14.34664,-11.164086,-12.257521,-5.3276095,-27.862892,32.071426,-17.408846,-26.143927,30.26578,-12.249977,5.6758227,31.95129,-36.25084,18.984419,-6.288611
Hep-G2/C3A,1.9770248,-3.7395427,-4.5656624,-4.648989,-0.18667412,-6.3078985,6.022336,-5.6794577,-7.194586,5.046426,-1.2292114,2.1941657,5.837003,-8.392565,2.980103,-2.4763684
KMRC-2,0.34022477,-7.159945,-5.755948,-6.2867393,-2.9069386,-13.143769,14.375517,-7.302234,-11.106157,13.103564,-5.5616846,2.082824,14.465013,-15.13623,8.773864,-1.6042796
MOG-G-UVW,-1.0957197,-14.434778,-12.025895,-14.577021,-6.172965,-29.317495,32.057068,-17.820349,-26.571024,30.391104,-11.2247305,5.415336,32.786133,-36.08745,19.297966,-6.576723
NB4,31.4399,3.2274134,-5.9499173,10.187189,4.6198697,9.348023,-48.291344,28.03735,38.76796,-49.521297,33.746643,-9.470999,-35.22323,45.340725,-31.196005,8.715548
PK-59,29.723057,4.5497875,-3.8223145,9.66748,2.5402346,2.9367375,-46.007687,26.433723,36.3699,-46.339138,33.24424,-7.2637324,-29.769491,42.846962,-28.131573,6.546919
HCC70,37.82583,3.6915805,-7.945362,13.758118,6.5189695,11.463419,-57.05465,33.34369,45.85147,-58.477833,37.882576,-10.623351,-42.36614,53.217995,-35.510975,10.573417
Hs 739.T,-1.1461853,-13.792063,-10.839871,-11.750749,-5.0856004,-26.68132,30.755032,-16.719286,-25.06003,29.035849,-11.739666,5.484755,30.580853,-34.819054,18.14704,-5.9546323
SK-N-SH,-1.0449952,-11.388573,-9.603166,-9.888359,-5.613314,-23.240019,26.09791,-13.061008,-20.08815,24.471512,-10.139733,3.972867,26.496855,-27.900059,14.429522,-3.3366704
SW480,6.927358,1.1881918,-0.6844635,0.7646208,0.508911,0.073677056,-11.53424,5.6548986,8.302383,-11.891272,9.438724,-1.4863517,-6.78893,10.822769,-7.2973194,0.71461195
BT-474,-1.1566046,-13.836956,-10.774026,-11.898475,-5.1984897,-26.979347,30.971283,-16.734638,-25.183037,29.210123,-11.855717,5.4353266,30.91866,-34.90481,18.343307,-5.993248
DMS 114,-0.4318383,-12.800518,-10.4546585,-11.184236,-4.8561134,-23.645601,26.756548,-14.80153,-21.839243,25.491442,-9.74624,4.540392,26.68813,-30.840523,16.133905,-5.05706
NCI-H441,64.294266,6.489498,-12.334773,22.793995,9.389103,17.866299,-94.43928,54.82174,76.24809,-97.05972,67.388214,-18.013153,-69.07594,89.676865,-61.938465,16.47023
SIG-M5,-1.1822463,-13.387493,-10.514064,-11.550989,-5.181465,-26.142294,29.913958,-16.029694,-24.16424,28.199917,-11.449143,5.1324844,29.926447,-33.508175,17.588007,-5.57579
SK-N-BE(2),0.5700077,-11.451473,-9.291114,-8.525379,-1.5355074,-19.303116,22.952438,-14.453239,-20.335993,21.37409,-8.960516,6.301019,21.988811,-28.453465,14.995735,-5.2510514
TO 175.T,-1.1066654,-13.068229,-10.157132,-11.089823,-5.0032306,-25.597107,29.300812,-15.595077,-23.61078,27.543468,-11.314164,5.04138,29.272678,-32.697914,17.247746,-5.406176
EFO-27,1.2111796,-8.795204,-6.1687484,-6.602572,-1.8721629,-15.584223,18.9988,-12.399379,-17.433645,18.22298,-6.895674,4.9433417,18.09535,-23.886974,12.117096,-5.8598146
JHH-1,55.907154,4.0192027,-13.2606945,18.25652,8.188845,14.932619,-83.1391,49.389977,67.774086,-86.71347,56.6911,-17.396122,-61.297012,79.092255,-53.460495,16.541693
SNU-719,64.816185,6.144418,-13.8968935,23.324614,19.989685,28.826834,-88.59265,40.761818,59.97629,-91.76024,58.91073,-6.016343,-71.94696,75.55368,-54.543392,7.9441013
SK-N-MC,-0.8440034,-17.799795,-13.451812,-14.201895,-5.757704,-33.035355,38.705673,-21.506868,-31.828505,36.618225,-14.846291,7.2236276,38.045307,-44.74057,23.431911,-7.700363
P31/FUJ,-0.93003434,-14.611836,-11.242802,-13.341872,-7.3537517,-31.577398,30.937023,-13.929838,-22.610632,27.82728,-12.679256,3.737312,33.288803,-30.796432,18.4219,-3.8763847
